Title,Code,Aptitude,Ego,Description,Labels,Calculation,Weight
Cognition,COG,TRUE,TRUE,"Cognition is your aptitude for problem- solving, logical analysis, and understanding. It also includes memory and recall.","Limited,Intelligent,Bright,Learned,Brilliant,Genius",,1
Coordination,COO,TRUE,TRUE,"Coordination is your skill at integrating the actions of different parts of your morph to produce smooth, successful movements. It includes manual dexterity, ne motor control, nimbleness, and balance. ","Clumsy,Able,Coordinated,Agile,Nimble,Unerring",,2
Intuition,INT,TRUE,TRUE,"Intuition is your skill at following your gut instincts and evaluating on the y. It includes physical awareness, cleverness, and cunning.","Aware,Perceptive,Sharp,Uncanny,Prescient,Near Omniscient",,3
Reflexes,REF,TRUE,TRUE,"Reflexes is your skill at acting quickly. This encompasses your reaction time, your gut-level response, and your ability to think fast.","Slow,Paced,Swift,Fast,Lightning,Synaptic",,4
Savvy,SAV,TRUE,TRUE,"Savvy is your mental adaptability, social intuition, and proficiency for interacting with others. It includes social awareness and manipulation.","Awkward,Personable,Charismatic,Dazzling,Mesmerizing,Hypnotic",,5
Somatics,SOM,TRUE,TRUE,"Somatics is your skill at pushing your morph to the best of its physical ability, including the fundamental utilization of the morph’s strength, endurance, and sustained positioning and motion.","Inept,Weak,Fit,Enhanced,Gifted,Elite",,6
Willpower,WIL,TRUE,TRUE,"Willpower is your skill for self-control, your ability to command your own destiny.","Distracted,Controlled,Focused,Resolute,Unwavering,Unshakeable",,7
Moxie,MOX,,TRUE,"Moxie represents your character’s inherent talent at facing down challenges and overcoming obstacles with spirited fervor. More than just luck, Moxie is your character’s ability to run the edge and do what it takes, no matter the odds.",,,8
Speed,SPD,,,"The Speed stat determines how often your character gets to act in an Action Turn (see Initiative, p. 188). All characters start with a Speed stat of 1, meaning they act once per turn. Certain implants and other advantages may boost this up to a maximum of 4.",,,9
Durability,DUR,,,"Your morph’s physical health (or structural integrity in the case of synthetic shells, or system integrity in the case of infomorphs). It determines the amount of damage your morph can take before you are incapacitated or killed (see Physical Health, p. 206).",,,10
Initiative,INIT,,TRUE,"Your character’s Initiative stat helps determine when they act in relation to other characters during the Action Turn (see Initiative, p. 188).",,(INT + REF) / 5,11
Lucidity,LUC,,TRUE,"Lucidity is similar to Durability, except that it measures mental health and state of mind rather than physical well-being. Your Lucidity determines how much stress (mental damage) you can take before you are incapacitated or driven insane (see Mental Health, p. 209).",,WIL * 2,12
Trauma Threshold,TT,,TRUE,"Trauma Threshold determines if you suffer a trauma (mental wound) each time you take stress (see Mental Health, p. 209). A higher Trauma Threshold means that your mental state is more resilient against experiences that might in ict psychiatric disorders or other serious mental instabilities.",,LUC / 5,13
Insanity Rating,IR,,TRUE,Your Insanity Rating is the total amount of stress your mind can take before you go permanently insane and are lost for good.,,WIL * 4,14
Wound Threshold,WT,,,"Wound Threshold is used to determine if you receive a wound each time you take physical damage (see Physical Health, p. 206). The higher the Wound Threshold, the more resistant to serious injury you are.",,DUR / 5,16
Death Rating,DR,,,Death Rating is the total amount of damage your morph can take before it is killed or destroyed beyond repair.,,DUR * 1.5,17
Damage Bonus,DB,,,The Damage Bonus stat quanti es how much extra oomph your character is able to give their melee and thrown weapons attacks.,,SOM / 10,18
