name,based_on,book,background,faction,motivations,quote,description,ego_stats,skills,morph_type,morph_stats,augmentations,traits,sleights,gear,equipped,credits,rep,rez,damage,wounds,stress,trauma,derangements
Anarchist Techie,,EP.154,Original Space Colonist,Anarchist,"+Anarchism, +Open Source, +Tech-Hacking","Don't worry, it works; these things run themselves anyway. I voided the warranty, but anything loaded with DRM like that is broken to start with.","You’re an old-school hacker—the kind that likes to take technological toys, dismantle them, modify them, rebuild them, and then use them in ways the designers never imagined. When you’re not too busy building crazy robotic sculptures for art performance purposes, your skills are in demand because you can fix almost any- thing, improve it, or even build it from scratch.

You advocate for open-source technology that anyone can use or modify as they see fit and you support decentralized models of peer collaboration—nothing pisses you off more than restrictive proprietary tech with which you or others can’t meddle. You take a hands-on approach to most problems, but you become so engrossed in your projects that you tend to be oblivious to the world around you. ",,,Bouncer,,"Access Jacks, Basic Biomods, Basic Mesh Inserts, Cortical Stack, Electrical Sense, Grip Pads, Oxygen Reserve, Prehensile Feet, Wrist-Mounted Tools","Oblivious, Limber (Level 1)",,"Automech:2, Backup Insurance (Budget):1 month, Engineer Nanoswarm, Fabber, Fixer Nanoswarm, Muse, Vacsuit (Standard Smartfabric), Freezer",,200,"@:60,i:40,r:50",,,,,,
Argonaut Xenoarcheologist,,EP.155,Original Space Colonist,Argonaut,"+Exploration, +Research (Alien Civilizations), +Technoprogressivism",I’ve got a bad feeling about this. These tools are very similar to the ones we recovered from the ruins on that binary system exoplanet last year.,"You are convinced that something strange is going on in the galaxy. Despite the Factors and signs of dead alien civilizations like the Iktomi, the sheer mathematical odds insist that there should be more life in the galaxy. So where is it? Your goal is to find out, and in pursuit of this you study the relics left behind on various exoplanets.

Equal parts conspiracy theorist, treasure hunter, and scientist, you have the skills and training to decode the evidence and artifacts left behind by unknown entities and life forms. You are a valued expert for gatecrashing expedi- tions, but you avoid working for hypercorps because you believe, like other argonauts, that any discoveries made should be available to all.",,,Exalt,,"Basic Biomods, Basic, Mesh Inserts, Cortical Stack, Echo Location, Medichines, Mnemonic Augmentation","Enemy: Rival Xenoarcheologist, Mental Disorder: Impulse Control, Mental Disorder: Insomnia, Morphing Disorder, Psi (Level 2)","Ambience Sense, Grok, Pattern Recognition, Omni Awareness, Static, Thought Browse","Vacsuit (Light Smartfabric), Stunner, Backup Insurance (1 month), Cleaner Nanoswarm, Disassembler Nanoswarm, Electronic Rope, Forensics Kit, Klar, Mobile Lab, Muse, Servitor Bot, Shelter Dome, Smart Dust, Specimen Container, Specs, Utilitool",,4250,"@:40,c:40,e:20,i:40,r:60",,,,,,
Barsoomian Freelance Journalist,,EP.156,Martian,Barsoomian,"–Censorship, +Martian Liberation, +Sousveillance","What? No, I’m not recording. Anything you have to say about the Hellas massacre is strictly between you and me.","Thanks to the mesh, lifelogging, XP, and ubiquitous surveillance, journalism is a crowdsourced industry—everyone is a reporter. Hard work, skill, and attitude can still earn you a name and recog- nition, however. Your commitment to old-school investigative journalism and raking the muck that the power brokers and influence peddlers wallow in has helped expose the puppet strings behind the cyberdemocratic facade.

You make a sport out of bypassing the hypercorp content filters and initiating subversive memes. Equal parts investigator, paparazzi, adventurer, and activist, you embrace a gonzo journalist style that borders on entertainment. You prefer synths because they are innocuous and employ numerous drones and electronic spies to obtain the real story.",,,Synth,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Enhanced Hearing, Enhanced Smell, Enhanced Vision, Lidar, Mnemonic Augmentation, Radar, T-Ray Emitter","Minor Addiction: Narcoalgorithms, Modified Behavior: Boosted Stalking Tendencies, Social Stigma: Clanking 
Masses, Uncanny Valley",,"Backup Insurance (Budget):1 month, Covert Ops Tool, Facial/Image Recognition Software, Gnat Bot:3, Linkstate, Microbug:5, Muse, Radio Booster, Repair Spray, Saucer Bot, Speck Bot:2, Smart Dust, Tracking Software, Trike Exoskeleton, Shredder",,1450,"@:40,c:40,e:20,i:40,r:60",,,,,,
Brinker Genehacker,,EP.157,Isolate,Brinker,"+Artistic Expression: Morph Design, +Morphological Freedom +Research: Neogenetics","It’s alive! It’s alive! Wait—no—well, it was alive. Let’s try that again.","Some might consider you a mad scientist, but they simply lack the vision and moral flexibility to understand the meaning of your work. You are not just a scientist—you are an artist, dedicated to defining the shapes and abilities of transhumans as they transition to the posthuman. Because your work is sometimes controversial, you prefer the brinker lifestyle, working in isolation where you are not restricted by laws or customs.

There are some who find your work intriguing or valuable, of course, and so you have acquired influen- tial backers. In truth, you are an expert when it comes to designing and manipulating biomorphs, and so your services are sometimes in demand when it comes to explain- ing unusual and exotic transformations. Your patrons, of course, sometimes call on your expertise from time to time in exchange for bankrolling your work",,,Menton,,"Access Jacks, Basic 
Biomods, Basic Mesh Inserts, Circadian Regulation, Cortical Stack, Eidetic Memory, Ghostrider Module, Hyper-Linguist, Math Boost, Medichines, Multi-Tasking ","Black Mark (Level 1): Lunars, Patron: Gerontocrat, Psi Defense",,"Armor Clothing, Stunner, Backup Insurance (1 month), Dr. Bot, Drive:5, Ego Bridge, Fabber, Frequency:2, Guardian Angel, Muse, Nanobandage",,1900,"@:30,c:20,g:30,r:60",,,,,,
Criminal Hacker,,EP.158,Re-Instantiated,Criminal,"+Fame, +Subverting Technology, +Thrill-Seeking",You call this secure? Maybe it would keep me out if I was a particularly slow child.,"There's never been a system you couldn't crack, given time. That's what got you put away the first time, but now that you have a second chance you'll never get caught again. You take pride at circumventing firewalls and mesh defenses—nothing surpasses the thrill of digital trespassing and accessing secrets.

Such intrusions are illegal, of course, but you've never let morality get in your way. In fact, you make a good living selling your talents to criminal groups like the triads and ID Crew. You've never been a joiner, though—you remain strictly freelance. In fact, you'll sell your services to almost anyone—it's the thrill of the hack that really counts",,,Swarmanoid,,"Access Jacks, Basic Mesh Inserts, Cortical Stack, Cyberbrain, Electrical Sense, Enhanced Vision, Lidar, Magnetic System, Mental Speed, Mnemonic Augmentation, Na- noscopic Vision, Radar, Swarm Composition, T-Ray Emitter","Edited Memories, On the Run: Morningstar Constellation, Right at Home",,"Automech, Backup Insurance (Budget):1 month, EMP Grenade, Exploit Software, Fake Ego ID, Guardian Bot, Guardian Nanoswarm, Saboteur Nanoswarm, Servitor Bot, Sniffer Software, Spoof Software, Tactical Network Software, Tracking Software",,5250,"@:30,c:20,g:50,i:50",,,,,,
Extropian Smuggler,,EP.159,Re-Instantiated,Extropian,"+Libertarianism, +Subverting Authority, +Wealth","Sorry about that, but I gotta look out for numero uno. You understand.","Despite the failures of statist capitalism, you’re a die-hard believer in free markets—and when markets aren’t free, you have no qualms about undermining them.

You make a living supplying the inner system and Jovian black markets, whether that means running blockades, smuggling contraband, or pirating nanofab blueprints. In an age of automated machines, you’re a damn good pilot, and you can talk or shoot your way out of messy situations. Whereas many people look down on synthmorphs, you embrace the post-biological life and its freedom from chemical and biological dependencies.",,,Slitheroid,,"360-degree Vision, Access Jacks, Anti-Glare, Basic Mesh Inserts, Chameleon Skin, Cortical Stack, Cyberbrain, En- hanced Vision, Grip Pads, Hidden Compartment, Lidar, Light Combat Armor, Mnemonic Augmentation, Mobility System: Snake (4/16; 8/32 rolling), Radar, T-Ray Emitter","Neural Damage: Repetitive Behavior, On the Run: Jovians, Sense, Edited Memories",,"Backup Insurance (Budget):1 month, Dazzler, Fake Ego ID, Guardian Bot, Miniature Radio Farcaster, Phlo, Portable Plane, Radio Boost- er, Repair Spray, Slip, Smart Clothing, Utilitool, Vibroblade, White Noise Machine, Light Combat Armor, SMG",,1400,"@:50,c:30,g:70,i:50",,,,,,
Hypercorp Black Marketeer,,EP.160,Fall Evacuee,Hypercorp,"+Personal Career, +Technoprogressivism, +Wealth","I may have that, but it’s very hard to acquire. How much is it worth to you?","The inner system is a nice place to live, but it has its share of inequalities. Someone has to provide the goods and services that the poor and clanking masses need, and you’re more than will- ing to meet their needs—and make some profit of your own while you’re at it. You work as an exchange point between the hackers, smugglers, and criminal cartels on one side and everyone who needs or craves the restricted and illegal on the other. You keep a step ahead of the law, providing what you see as an essential role in society despite the official rules and restrictions that enhance your profit margins. n",,,Splicer,,"Basic Biomods, Basic Mesh Inserts, Bioweave (Light), Cortical Stack, Eelware, Endo- crine Control, Enhanced Vision, Medichines, Nanophages",Enemy: Rival Criminal,,"Backup Insurance (Budget):1 month, Cleaner Nano- swarm, Fake Ego ID, Guard- ian Bot, Muse, Nanobandage, Nanodetector, Overload Grenade, Servitor Bot, Shredder, Standard Vacsuit, Tactical Network Software, Armor Vest, Laser Pulser",,2650,"@:20,c:70,e:20,f:30,g:50,i:10",,,,,,
Jovian Spy,,EP.170,Original Space Colonist,Jovian,"-Anarchism, +Bioconservatism, -Technoprogressivism","Not so immortal now, are we, frankenfreak scum!","You’re a dedicated soldier to the bioconservative cause, convinced that unrestricted technology is driving the human race to extinction. The Jovian Republic has trained you and modified you to serve their interests, whether that means infiltrating a hypercorp to steal its secrets or sabotaging an autonomist habitat. As a skilled professional in service to the republic, you have no qualms about using technologies that you otherwise want restricted or banned, and you appreciate the irony of using the tools of transhuman monsters against them. You prefer flats, and you consider it a point of pride that you sleeve into a non-genetically modified body with no cortical stack and still kick transhuman ass.",,,Flat,,Neurachem (Level 1),"Modified Behavior (Blood-thirsty, boosted), Morphing Disorder (Level 1), Genetic Defect :Heart Disease, Unattractive (Level 1)",,"Body Armor, Thermal Dampening, Second Skin, Heavy Pistol Railgun, Backup Insurance (Budget):1 month, Fake Ego IDs:2, Frag Grenade:10, Invisibility Cloak, Liquid Thermite, Miniature Radio Farcaster, MRDR, Oxytocin-A, Radio Booster, Portable QE Communicator with Low- Capacity Qubit Reservoir, Speck Bots:3, Specs, Tactical Network Software, Wasp Knife, White Noise Machine 
",,700,"c:50,e:30,g:20",,,,,,
Lunar Ego Hunter,,EP.171,Lost,Lunar,"+Personal Development, +Self-Protection, +Vengeance","Hello, doctor, you’re a hard man to find. I have some questions about some children that I’d like to ask you.","You survived your accelerated growth experience as a member of the Lost generation, the col- lapse of the project, and the scan- dal and witchhunts that followed. You’ve immersed yourself in a new life and identity. Now you put your particular skills and talents to use tracking people as a bounty hunter—a daunting task consider- ing that your targets can change not only their faces but their bodies and sometimes even their memo- ries and mannerisms. All the while you viciously hide your own history and out-maneuver those who want to track your kind down. You are not content to be a victim or a mercenary for others, however. Slowly but surely you are amassing information on those responsible for the Lost project—for what they did to you—and some day you will make them pay. ",,,Futura,,"Adrenal Boost, Basic Biomods, Basic Mesh Inserts, Cortical Stack, Eidetic Memory, Emotional Dampers, Enhanced Hearing, Enhanced Smell, Enhanced Vision, Medichines, Oracles","Mental Disorder (Borderline Personality), Mental Disorder (Obsessive-Compulsive), Mental Disorder (PTSD), Psi (Level 2), Social Stigma (Lost)","Downtime, Emotional Control, High Pain Threshold, Instinct, Unconscious Lead, Deep Scan, Ego Sense, Psychic Stab, Scramble, Subliminal","Body Armor (Light), Microwave Agonizer, Backup Insurance (Budget):1 month, Disabler, Facial/ Image Recognition Software, Fake Ego ID, Muse, Shock Ba- ton, Sniffer Software, Tactical Network Software, Taggant Nanoswarm, Track Software, Tracker Dye, Twitch",,2700,"c:30,e:10,g:10",,,,,,
Mercurial Investigator,,EP.172,Infolife,Mercurial,"+AGI Rights, +Personal Development, +Sousveillance","Oh this is great, I think I found it! What is a ‘red light district?’ Oh, I see.","You are a digital life form, coded to be “friendly” and molded with transhuman mindsets and world views. You resent the backlash against AGIs and criticize resurgent human tendencies towards technophobia and xenophobia as harmful to the emerging transhuman society. You immerse your- self fully in transhuman culture and the data it produces, bathing in its richness. You excel at sifting, sorting, and correlating this data, in fact, selling your ser- vices as a mesh-based investigator. For most of your inquiries, a physical form isn’t necessary, as you acquire data on the physi- cal world through sensors. When physical interaction is called for, however, you can operate or jam a bot or catch a ride in a ghostrider module or, as a last resort, in a meat puppet.",,,Infomorph,,,"Real World Naiveté, Social Stigma (AGI)",,"AR Illusions Software, Backup Insurance (Budget):1 month, Covert Ops Tool, Creepy, Exploit Software, Facial/Image Recognition Software, Gnat Bot:2, Guardian Bot, Holographic Projector, Juice, Saucer Bot, Scout Nanoswarm, Servitor Bot, Smart Dust, Sniffer Soft- ware, Speck Bots (3), Spoof Software, Tactical Network Software, Tracking Software, XP Clip:5",,250,"c:20,g:10,i:20",,,,,,
