name,name,description,effect,dice,mod,ap,modes,rounds,linked skill,aoe,extra effect,ranges,reach
Async Flesh Party,Bite,"Medium and smaller targets are swallowed whole with an MoS of 30+. Engulfed victims suffer the effects of acid spit (below) until freed or dead and cannot see, hear, or breathe (see Asphyxiation, p. 194, EP).",,2,5,-3,,,Unarmed Combat,,,,
Async Flesh Party,Acid Spit,DV 1d10 + 5 per turn for 3 Action Turns. Armor defends but is decreased by the damage.,,1,5,,,,Unarmed Combat,Cone,,,
Async Flesh Party,Bone Spur,,,1,4,-2,,,Unarmed Combat,,,,
Barbed Eel,Bite,"Bite targets may be subdued (p. 204, EP) with a Quick Action.",,1,4,-2,,,Unarmed Combat,,,,
Barbed Eel,Electric Stun,"No defense, 10 meter radius effect, when underwater.",,1,,,,,Unarmed Combat,,S,,
Bees,Sting,,,1,,,,,Unarmed Combat,,,,
Blister Beast,Tail Strike,Struck targets must make a SOM x 3 Test or be knocked down.,,2,,,,,Unarmed Combat,,,,
Blister Beast,Sting,,Injects paralytic sting toxin,1,5,-3,,,Unarmed Combat,,D,,
Bolatee,Entangle,"On subsequent actions, entangled victims will be grabbed by other bolatees and torn apart, inflicting DV 2d10 (armor does not protect).",,,,,,,Unarmed Combat,,S,,10
Bolatee,Entangle,"On subsequent actions, entangled victims will be grabbed by other bolatees and torn apart, inflicting DV 2d10 (armor does not protect).",,,,,,,Unarmed Combat,,G,,10
Brontops,Gore,,,3,4,-3,,,Unarmed Combat,,,,
Brontops,Stomp,,,3,4,,,,Unarmed Combat,,,,
Brontops,Bite,,,2,4,-1,,,Unarmed Combat,,,,
Brontops,Gore,,,3,4,-3,,,Unarmed Combat,,,,
Brontops,Stomp,,,3,4,,,,Unarmed Combat,,,,
Causapod,Bite,,,1,5,-2,,,Unarmed Combat,,,,
Cherub,Bite,,,1,/2,,,,Unarmed Combat,,,,
Cherub,Cyberclaws,,,1,/2,3,,,Unarmed Combat,,,,
Chrysacid Exsurgent,Club Attack,,,1,4,,,,Unarmed Combat,,,,
Chrysacid Limb,Slash,,,1,5,-4,,,Unarmed Combat,,,,
Chrysacid Spider,Slash,,,1,6,-5,,,Unarmed Combat,,,,
Chrysacid Spur,Slash,,,1,4,-3,,,Unarmed Combat,,,,
Clown Sprite,Bite,,,1,/2,,,,Unarmed Combat,,,,
Creeper,Subdual,Subdued targets are penetrated and converted on next action.,,,,,,,Unarmed Combat,,G,,
Creeper,Convert Matter,DV 1d10 per Action Turn to touched/penetrated targets. Damage inflicted increases creeper's DUR.,,1,,,,,Unarmed Combat,,,,
Creeper,Repulsion Wave,"No defense, 30 meter radius effect, kinetic armor applies. All physical things pushed back 1d10 meters, SOM x 3 Test or knocked down.",No defense,3,,,,,,Blast,,30/30/30/30,
Crocasaur,Bite,,,5,,-5,,,Unarmed Combat,,,,20
