Title,Code,Table,Weight,Description,Speed
Automatic,A,action_type,1,"Automatic actions are “always on” and require no effort from the character, assuming they are conscious.",
Quick,Q,action_type,2,"Quick actions are simple, so they can be done fast and can be multi-tasked. The gamemaster determines how many Quick actions a character may take in a turn.",
Complex,C,action_type,3,Complex actions require concentration or effort. The number of Complex actions a character may take per turn is determined by their Speed stat.,
Task,T,action_type,4,"Task actions are any actions that require longer than one Action Turn to complete. Each Task action has a timeframe, usually listed in the task description or otherwise determined by the gamemaster. The timeframe determines how long the task takes to complete, though this may be reduced by 10 percent for every 10 full points of MoS the character scores on the test (see Margin of Success/Failure, p. 118).",
Blast,,area_effect,1,"Blast weapons include items like grenades, mines, and other explosives that expand outward from a central detonation point. Most blast attacks expand outward in a sphere, though certain shaped charges may direct an explosion in one direction only. The explosive force is stronger near the epicenter and weaker near the outer edges of the sphere. For every meter a target is from the center, reduce the DV of a blast weapon by –2.",
Uniform Blast,,area_effect,2,Uniform blast attacks distribute their power evenly throughout the area of effect. Examples include fuel- air explosives and thermobaric weapons that disperse an explosive mixture in a vapor cloud and ignite it all at once. All targets within the noted blast radius suffer the same damage. Damage against targets outside of the main blast sphere is reduced by –2 DV per meter. ,
Cone,,area_effect,3,"Weapons with a cone effect have an area effect that begins with the tip of the weapon and expands outward in a cone. At short range, this attack effects 1 target; at medium range it affects 2 targets within a meter of each other; and at long or extreme range it affects 3 targets within a meter of the next. Cone-effect attacks do +1d10 damage at short range and –1d10 damage at long and extreme range.",
Variable,,cost_level,0,The cost of this item varies wildly based on conditions. See its description for more details.,
Trivial,,cost_level,1,"1-99 credits, average 50. A meal, a good shirt, or some ammo. As long as it’s appropriate for the location, there’s no trouble finding or fabbing these goods.",
Low,,cost_level,2,"100-499 credits, average 250. Crap insurance, a good meal, a cheap gun or a bare-bones wardrobe, simple safety gear.",
Moderate,,cost_level,3,"500-1,499 credits, average 1,000. A good weapon, a gourmet meal, body armor, renting a morph for a week, an automech or fabber, quality backup insurance. Travel or egocasting within 50,000km. These aren’t out of reach, but add up.",
High,,cost_level,4,"1,500-9,999 credits, average 5,000. Expensive hardware, a beat up pod morph, throwing a rager of a party. Travel or egocasting within 200,000km. ",
Expensive,,cost_level,5,"10,000+ credits, average 20,000. A new morph, military-grade weapons, medical equipment. Transport or egocasting beyond 200,000km. Expensive goods often carry their own minimum costs; don’t assume that 20k will buy you a shuttle, or something.",
Crazypants,,cost_level,6,"100,000+ credits, average 250,000. This is fuck-you money.",
