Title,Magnitude,Description,Effects,Source
Anxiety,Minor,"You suffer a panic attack, exhibiting the physiological conditions of fear and worry: sweatiness, racing heart, trembling, shortness of breath, headaches, and so on.",,EP.210
Dizziness,Minor,"You are psychologically incapable with dealing with the source of the stress, or some circumstance related to it, so you avoid it—even covering your ears, curling up in a ball, or shutting off your sensors if you have to.",,EP.210
Echolalia,Minor,The stress makes you light-headed and disoriented.,,EP.210
Fixation,Minor,"You become fixated on something that you did wrong or some circumstance that led to your stress. You obsess over it, repeating the behavior, trying to fix it, running scenarios through your head and out loud, and so on.",,EP.210
Hunger,Minor,You are suddenly consumed by an irrational yet overwhelming desire to eat something—perhaps even something unusual.,,EP.210
Indecisiveness,Minor,"You are flustered by the cause of your stress, finding it difficult to make choices or select courses of action.",,EP.210
Logorrhea,Minor,You involuntarily repeat words and phrases spoken by others.,,EP.210
Nausea,Minor,"The stress sickens you, forcing you to fight down queasiness.",,EP.210
Chills,Moderate,"Your body temperature rises, making you feel cold, and shivering sets in. You just can’t get warm.",,EP.210
Confusion,Moderate,"The trauma scrambles your concentration, making you forget what you’re doing, mix up simple tasks, and falter over easy decisions.",,EP.210
Echopraxia,Moderate,You involuntarily repeat and mimic the actions of others around you.,,EP.210
Mood Swings,Moderate,You lose control of your emotions. You switch from ecstasy to tears and back to rage without warning.,,EP.210
Mute,Moderate,The trauma shocks you into speechlessness and a complete inability to effectively communicate.,,EP.210
Narcissism,Moderate,"In the wake of the mental shock, all you can think about is yourself. You cease caring about those around you.",,EP.210
Panic,Moderate,You are overwhelmed by fear or anxiety and immediately seek to distance yourself from the cause of the stress.,,EP.210
Tremors,Moderate,"You shake violently, making it difficult to hold things or stay still.",,EP.210
Blackout,Major,"You operate on auto-pilot in a temporary fugue state. Later, you will be incapable of recalling what happened during this period. (Synthetic shells and infomorphs may call up memory records from storage.)",,EP.210
Frenzy,Major,You have a major freak out over the source of the stress and attack it.,,EP.210
Hallucination,Major,"You see, hear, or otherwise sense things that aren’t really there.",,EP.210
Hysteria,Major,"You lose control, panicking over the source of the stress. This typically results in an emotional outburst of crying, laughing, or irrational fear.",,EP.210
Irrationality,Major,"You are so jarred by the stress that your capacity for logical judgment breaks down. You are angered by imaginary offenses, hold unreasonable expectations, or otherwise accept things with unconvincing evidence.",,EP.210
Paralysis,Major,"You are so shocked by the trauma that you are effectively frozen, incapable of making decisions or taking action.",,EP.210
Psychosomatic Crippling,Major,"The trauma overwhelms you, impairing some part of your physical functioning. You suffer from an inexplicable blindness, deafness, or phantom pain, or are suddenly incapable of using a limb or other extremity.",,EP.210
Addiction,Disorder,"Addiction as a disorder can refer to any sort of addictive behavior focused toward a particular behavior or substance, to the point where the user is unable to function without the addiction but is also severely impaired due to the effects of the addiction. It is marked by a desire on the part of the subject to seek help or reduce the use of the addicting substance/act, but also by the subject spending large amounts of time in pursuit of their addiction to the exclusion of other activities. This is a step up from Addiction negative trait--this is much more of a crippling behavior that compensates for spending time away from the addiction. Addictions are typically related to the trauma that caused the disorder (VR or drug addictions are encouraged).","The addict functions in only two states: under the influence of their addiction or in withdrawal. Additionally, they spend large amounts of time away from their other responsibilities in pursuit of their addiction.",EP.211
Atavism,Disorder,"Atavism is a disorder that mainly affects uplifts. It results in them regressing to an earlier unor partially-uplifted state. They may exhibit behaviors more closely in line with their more animalistic forbears, or they may lose some of their uplift benefits such as the ability for abstract reasoning or speech.",The player and gamemaster should discuss how much of the uplift’s nature is lost and adjust game penalties accordingly. It is important to note that other uplifts view atavistic uplifts with something akin to horror and will usually have nothing to do with them.,EP.211
ADHD,Disorder,"This disorder manifests as a marked inability to focus on any one task for an extended period of time, and also an inability to notice details in most situations. Sufferers may find themselves starting multiple tasks, beginning a new one after only a cursory attempt at the prior task. ADHD suffers may also have a manic edge that manifests as confidence in their ability to get a given job done, even though they will quickly lose all interest in it.","Perception and related skill penalties. Increased difficulty modifiers to task actions, particularly as the action drags on",EP.211
Autophagy,Disorder,"This is a disorder that usually only occurs among uplifted octopi. It is a form of anxiety disorder characterized by self-cannibalism of the limbs. Subjects afflicted with autophagy will, under stress, begin to consume their limbs, if at all possible, causing themselves potentially serious harm.",Anytime an uplifted octopi with this disorder is placed in a stressful situation they must make a successful WIL x 3 Test or begin to consume one of their limbs.,EP.211
Body Dysmorphia,Disorder,"Bipolar disorder is also called manic depression. It is similar to depression except for the fact that the periods of depression are interrupted by brief (a matter of days at most) periods of mania where the subject feels inexplicably “up” about everything with heightened energy and a general disregard for consequences. The depressive stages are similar in all ways to depression. The manic stages are dangerous since the subject will take risks, spend wildly, and generally engage in behavior without much in the way of forethought or potential long term consequences.","Because of the nature of Eclipse Phase and the ability to swap out and modify a body, this is a fairly common disorder. It is suggested that characters with this suffer increased or prolonged resleeving penalties since they are unable to fully adjust to the reality of their new morph.",EP.211
Borderline Personality Disorder,Disorder,"Subjects afflicted with this disorder believe that they are so unspeakably hideous that they are unable to interact with others or function normally for fear of ridicule and humiliation at their appearance. They tend to be very secretive and reluctant to seek help because they are afraid others will think them vain—or they may feel too embarrassed to do so. Ironically, BDD is often misunderstood as a vanity-driven obsession, whereas it is quite the opposite; people with BDD believe themselves to be irrevocably ugly or defective. A similar disorder, gender identity disorder, where the patient is upset with their entire sexual biology, often precipitates BDD-like feelings. Gender identity disorder is directed specifically at external sexually dimorphic features, which are in constant conflict with the patient’s internal psychiatric gender.","The character needs to be around others and will not be left alone, however they also are not quite able to relate to others in a normal way and may also take risks or make impulsive decisions.",EP.211
Depression,Disorder,"This disorder is marked by a general inability to fully experience one’s self any longer. Emotional states are variable and often marked by extremes and acting out. Simply put, the subject feels like they are losing their sense of self and seeks constant reassurance from others around them, yet is not fully able to act in an appropriate way. They may also engage in impulsive behaviors in an attempt to experience some sort of feeling. In extreme cases, there may be suicidal thoughts or attempts","Depressives often lack the will to take any sort of action, often to the point of requiring a WIL x 3 Test to engage in sustained activity.",EP.211
Fugue,Disorder,"Clinical depression is characterized by intense feelings of hopelessness and worthlessness. Subjects usually report feeling as though nothing they do matters and no one would care anyway, so they are disinclined to attempt much in the way of anything. The character is depressed and finds it difficult to be motivated to do much of anything. Even simple acts such as eating and bathing can seem to be monumental tasks.",Characters in a fugue state are totally non-responsive to most stimuli around them. They will not even defend themselves if attacked and will usually attempt to curl into a fetal position if physically assaulted.,EP.211
General Anxiety Disorder,Disorder,"The character enters into a fugue state where they display little attention to external stimuli. They will still function physiologically but refrain from speaking and stare off into the distance, unable to focus on events around them. Unlike catatonia, a person in a fugue state will walk around if lead about by a helper, but is otherwise unresponsive. The fugue state is usually a persistent state, but it can be an occasional state that is triggered by some sort of external stimuli similar to the original trauma that triggered the disorder.","A character with GAD will be almost entirely useless unless convinced otherwise, and then only for a short period of time. Another character can attempt to use a relevant social skill to coax the GAD character into doing what is required of them. If the character with the disorder fails at the task, however, all future attempts to coax them will suffer a cumulative –10 penalty.",EP.211
Hypochondria,Disorder,"GAD results in severe feelings of anxiety about nearly everything the character comes into contact with. Even simple tasks represent the potential for failure on a catastrophic scale and should be avoided or minimized. Additionally, negative outcomes for any action are always assumed to be the only possible outcomes.",A subject that is hypochondriac will often behave as though they are under the effects of some other disorder or physical malady. This can be consistent over time or can be different and ever changing. They will react with hostility to claims that they are faking or not actually ill.,EP.211
Impulse Control Disorder,Disorder,"Hypochondriacs suffer from a delusion that they are sick in ways that they are not. They will create disorders that they believe they suffer from, usually to get the attention of others. Often hypochondriacs will inflict harm on themselves or even ingest substances that will aid in producing symptoms similar to the disorder they believe they have. These attempts to simulate symptoms can and will cause actual harm to hypochondriacs.","Similar to OCD, if the character doesn’t engage in the behavior they will grow increasingly disturbed and suffer penalties to all actions until they are able to engage in the compulsion that alleviates their anxiety.",EP.211
Insomnia,Disorder,"Subjects have a certain act or belief that they must engage in a certain activity that comes into their mind. This can be kleptomania, pyromania, sexual exhibitionism, etc. They feel a sense of building anxiety whenever they are prevented from engaging in this behavior for an extended period (usually several times a day to weekly, depending on the impulse) and will often attempt to engage in this behavior at inconvenient or inappropriate times. This is different from OCD in the sense that OCD is usually a single contained behavior that must be engaged in to reduce anxiety. Impulse control disorder is a variety of behaviors and can be virtually any sort of highly inappropriate action.","Due to the lack of meaningful sleep, insomniacs should suffer from blanket penalties to perception related tasks or anything requiring concentration or prolonged fine motor abilities.",EP.211
Megalomania,Disorder,"Insomniacs find themselves unable to sleep, or unable to sleep for an extended period of time. This is most often due to anxiety about their lives or as a result of depression and the accompanying negative thought patterns. This is not the sort of sleeplessness that is brought about as a result of normal stress but rather a near total inability to find rest in sleep when it is desired. Insomniacs may find themselves nodding off at inopportune times, but never for long, and never enough to gain any restful sleep. As a result, they are frequently lethargic and inattentive as their lack of sleep robs them of their edge and eventually any semblance of alertness. Additionally, insomniacs are frequently irritable due to being on edge and unable to rest.","A character that has megalomania will demand attention and has difficulty in nearly any social situation. Additionally, they may be provoked to violence if they think they are being slighted.",EP.211
Multiple Personality Disorder,Disorder,A megalomaniac believes themselves to be the single most important person in the universe. Nothing is more important than the megalomaniac and everything around them must be done according to their whim. Failure to comply with the dictates of a megalomaniac can often result in rages or actual physical assaults by the subject.,"When the player is under the effects of another personality, they should be treated as an NPC. In some rare cases the player and the gamemaster can work out the second personality and allow the player to roleplay this. This does not however constitute an entire new character that can be “turned on” at will.",EP.211
