Name,shortname,Parent,Type,Memes,Description,Locations,Source
14K Triad,14K,Triads,Gang,,"The 14K Triad controls a large part of the casino industry and various forms of illegal gambling, betting, and rigged lotteries. Through their Galaxy Entertainment Group, a legal casino and gambling hypercorp, the 14K maintains tight connections to politicians, celebrities and influential entrepreneurs in several habitats and can afford the luxury of a private police force, the Pai Gow (Double Hand). Using the casino business for money laundering, they are also heavily involved in loan sharking and credit/ID fraud.",,EP.84
Anarchists,,Autonomist Alliance,Political Bloc,"Anarchism, Anti-capitalism, Communism, Direct Democracy, Mutual Aid","Anarchists eschew power and hierarchy, promoting horizontal and directly democratic methods of organization. Individual empowerment and collective action are cornerstones of their philosophy, as is economic communism enabled by equal access to cornucopia machines and shared resources. In anarchist stations, private property has been abolished above the level of personal possessions—nobody owns anything, it’s all shared. There are no laws and no one to watch over what you do—reputation networks encourage positive behavior and anti-social acts are likely to draw a response from locals or even the entire populace, with disputes handled through ad hoc community conflict resolution. The mesh and various networking tools are used extensively to strive for group consensus decision-making in realtime. AIs and robots are relied on for most mundane and demeaning tasks. Various self-organized collectives, syndicates, worker’s councils, and affinity groups, often with rotating membership, take on different tasks and services that are important to a habitat’s community, including everything from communications and space traffic control to backup and resleeving services. Participatory militias organize collective defense against external threats. 

Among the anarchist stations there are many variations and permutations on how things are organized, as everything is fine-tuned at the local level by whomever is involved. Larger decentralized confederations handle inter-habitat affairs and resource-sharing, even trading with the hypercorps. Though a hypercorp presence is allowed on some habitats, they are treated just like everyone else. ",Locus,EP.77
Argonauts,,,Ideology,"Open Source Society, Information Freedom, Social Responsibility, Technoprogressivism","The group calling themselves argonauts is a public organization advocating the socially responsible use of technology. The group chose its name from the pre-Fall JASON, an advisory group that consulted for the US government on matters of scientific and technological progress and its possible dangers. The argonauts likewise offer consultation services to political and economic powers throughout the solar system, but strictly refuse to be drawn into the solar system’s political affairs in any way. Despite a pre-Fall break with many hypercorps before the Fall, which in some cases included expropriating corporate data and resources, the argonauts re-earned favor by providing their expertise in combating the TITANs to all during the Fall.

The argonauts are strong proponents of the open source movement, advocating open access to technology and information. In their view, providing equal access to transhumanity’s knowledge and achievements will further growth and security, so that all of transhumanity is more prepared for future threats and challenges. Thus the argonauts often insist that payment for their services come in the way of releasing otherwise unobtainable information—hypercorp proprietary secrets, research data, nanofab blueprints, hidden pre-Fall archives, and so on—to the public mesh. The argonauts maintain several open databases and archives for this specific purpose.

While primarily an open organization, the argonauts are rumored to ultimately report to an elite inner circle. Supporting this theory is the existence of the medeans, the organization’s clandestine paramilitary wing, bodyguarding high-level argonauts and protecting the group’s assets. ","Mitre Station, Markov, Hooverman-Geischecker",EP.79
Autonomist Alliance,Autonomist,,Political Bloc,,"The outer system presented an opportunity for people who wanted to set up a way of doing things that was drastically different from the authoritarian politics and sham democracies of Earth and the inner system. Far from the reach of governments and hypercorps, this frontier was populated by political radicals, social dropouts, and people who just wanted to experiment or do their own thing. These initial habitats drew the interests of insurgents from Earth, scientists and technicians who didn’t appreciate being on a corporate leash, indentured vacworkers who sought to escape their oppressive terms of service, and even criminals fleeing hypercorp justice or forcibly expelled from inner system habitats. Their ranks swelled with every act of inner system injustice, though life on the fringe was often harsh and deadly. Despite occasional hostilities with nationstate military units or hypercorp security, the expense of reining in these radicals and expats was too high. To some degree, their presence was useful to the powers-that-be. Breakthroughs with nanofabrication brought these anarchists and fringers the edge they needed to keep their autonomy over the long-term. Once cornucopia machines were widely available, anyone had the means to support and defend themselves without relying on outside or higher authorities. Already an outpost for open source and free culture activists who fought restrictions on ideas, media, and digital content, the outer system became a haven for sharing nanofab designs and circumventing the controls the hypercorps attempted to place on their software and other digital goods.

During the Fall, many outer system habitats opened their doors to refugees from Earth. Distance and the high cost of egocasting curtailed these efforts, however, as did inner system reluctance to send potential recruits to their ideological opponents. Simple overcrowding and lack of resources drove them to push many refugees to the outer system, however, though the hypercorps weeded through their virtual infugee mobs and sent those with the highest risk of criminal tendencies or discontent with inner system life. Though the outer system habitats run the gamut of the socio-political spectrum, four primary tendencies have emerged. The stations and swarms adhering to these ideas have bonded together under a loose autonomist alliance, a mutual aid pact to help each other in times of crisis and present a united front against the inner system powers and Jovian Junta. There is little formal structure to this alliance as an entity unto itself; it primarily exists as an assortment of joint resolutions agreed to by its various member habitats and a few ad hoc task forces dedicated to addressing a particular problem or issue and then dissolving. Delegated ambassadors act as negotiators with outside powers, but these have limited authority and are held strictly accountable.",,EP.76
Barsoomians,,,Ideology,"Anti-Slavery, Martian Independence, Martian Nationalism, Terraforming Control","The Barsoomians (taking their name from some old Earth pulp adventure novels) are a broad movement comprised of the Martian underclass. Harboring a growing resentment over the hypercorp domination of Mars, Barsoomians advocate for a more egalitarian social structure. Heavily in uenced by autonomist currents, the Barsoomians demand local control of terraforming projects, an end to the widespread practiced of indentured servitude, and control of the Martian Gate. The majority of Barsoomians are or were indentured infugees, though a significant amount were also original Martian colonists/indentures whose habitats do not share the economic prosperity of the favored hypercorp cities. Many Barsoomians occupy rusters or synthetic morphs and actually prefer to live a nomadic lifestyle in the Martian wilds. A few radicals have taken up arms and engaged in violent strikes against hypercorp holdings, which are typically followed by reprisal raids to decapitate the Barsoomian leadership, thus breeding further hostilities. ",Ashoka,EP.79
Big Circle Gang,Big Circle,Triads,Gang,,"The Big Circle Gang is the smallest of the four triad factions with approximately 8,000 members. They run a large part of the solar system’s drug trade, producing organic drugs, smart drugs, and narcoalgorithms of all kinds in secluded habitats or abandoned asteroid mining and processing facilities converted into drug labs.",,EP.84
Bioconservatives,Biocon,,Ideology,"Bioconservatism, Primitivism, Natural Order","Bioconservatives are strongly suspicious and critical of the transhuman direction the human race is taking. They are strong proponents of limiting technological development due to the threat it manifests to existing social orders. Bioconservative positions range from right-wing cultural conservatives to left-wing environmentalists. Though its prominence is shrinking, bioconservatism has a strong base among some religious groups, the Jovian Republic, and certain extremists.

Bioconservatives are opposed to nanofabrication, genetic modification, cloning, cognitive modifications, arti cial intelligence, uplifting, and forking among other technologies. Some are even opposed to backups, uploading, and resleeving, dismissing them as unnatural, an affront to god’s will, or a technology that transhumanity is not yet mature enough to handle. They oppose expansion beyond the Pandora gates on the grounds that transhumanity is not ready to deal with what they might encounter. Most bioconservatives support the old economy.

The bioconservatives gained many converts and much ground after the Fall, a cataclysmic event that served as a direct example of the dangers they warned against. Still, the appeal of technology and the numerous advantages it provides work against them. As a result, some disgruntled biocons have turned to sabotage and acts of terrorism in support of their ideology. 
",Vo Nguyen,EP.80
Brinkers, Brinker,,Ideology,Isolationism,"The vast reach of the solar system enables groups with their own particular ideology or agenda to establish their own isolated society far from the rest of transhumanity. Commonly referred to as brinkers, these habitats extend the gamut of the imagination. Social or political experiments, gender-based societies (or lack thereof), political extremists, religious groups, exiles, secret criminal/hypercorp operations, extended families, cults, or simply people who prefer to live in the system’s backwater areas—all are possible. Many of these are self-isolated and will refuse to interact with outsiders, while others are happy to have occasional visitors.",,EP.80
Cognite,,Planetary Consortium,Hypercorp,"Cognitive Science, Mental Implants, Psychosurgery, Nootropics","A pioneer in the field of cognitive science, Cognite (pronounced cog-neet) drives forward the cutting edge of research into understanding the transhuman mind. Well known for their mental augmentations and the original menton morph design, Cognite also specializes in psychosurgery and nootropics. Their elitist and aloof image was not aided by their scandalous involvement with the projects to raise accelerated growth children that became known as the Lost generation (p. 233), nor rumors that they engage in research involving TITAN-influenced incapacitating input attacks. Nevertheless they remain a key member in the Planetary Consortium.","Thought, Phobos",EP.70
Comet Express,,,Hypercorp,"Courier Services, Shipping, Logistics","Comet Express specializes in delivery services, interstellar logistics, supply chains, and shipping. They maintain a presence on almost every transhuman habitat in the solar system, often via local subcontractors. Despite the wonders of nanofabrication, many resources must still be imported. ComEx focuses on managing supply and trade routes and making sure physical shipments reach their destinations. For that purpose, ComEx maintains orbital hubs equipped with slingshot accelerators at strategic waypoints throughout the system and a fleet of cargo vessels and courier drones. For reasons unknown to the public, ComEx is viewed with hostility by the Jovian Republic, who have standing orders to shoot down ComEx vessels. ","Nectar, Olympus",EP.70
