Name,shortname,Parent,Type,Description,Population,AU,Languages,Source
Hyoden,,Jupiter,Habitat,"The nucleus of this city-state was a research station founded by a coalition of Pacific Rim nations in Callisto’s Valhalla region, a massive primordial impact zone where the icy subsurface lies exposed, simplifying extraction of clean water. When the Fall came, Hyoden, which had long faced labor shortages, opened itself to those refugees who could make it to Jupiter. Now Hyoden has 2 million inhabitants, making it the largest city-state on Callisto and the largest non-Junta state in the Jovian system. Hyoden is itself heavily militarized, as the tendency of the local authorities to turn a blind eye toward operatives using their territory for forays against the Junta makes for uneasy relations with their powerful neighbor. ",,,,EP.100
Liberty,,Jupiter,Habitat,"Situated along the southern edge of the vast, rocky plain called Galileo Regio, almost on Ganymede’s equator, Liberty (population 7 million) is the Junta’s largest planetary city-state. It is closely tied to Liberty Station, a major shipyard and defense installation in geosynchronous orbit. Major industries include shipbuilding, space construction, fabrication, and security products and services. The Castle, the central security network point from which all surveillance data collected in the Junta is monitored and processed, is rumored to be in or near Liberty. Liberty is mostly underground, but it boasts a number of parks in armored surface domes. If one were to spend enough time topside, one would see the deceleration torches of incoming metal asteroids from the belt bound for the shipyards lighting up the sky several times a day.",,,,EP.100
Locus,,The Trojans,Habitat,"Locus is the largest cluster habitat ever formed. It is still growing, with over one million inhabitants in the habitat proper and another million in the nearby suburbs of scum barges and small asteroid stations. Locus is located in Cassandra’s Reach, one of the denser regions in the L5 Trojans. The habitat is positioned at the center of mass around which the two asteroids making up the binary object Patroclus orbit one another. Both Patroclus asteroids are themselves inhabited and hold defense installations, mines, and refineries.

The design of Locus is very similar to the much smaller Lot 49, but Locus is eleven kilometers in diameter and somewhat irregular in shape, as growth along some spars is faster than others. A quarter of its total volume is cut out in a roughly conical shape all the way to the Amoeba, an immense, softly glowing sculpture at the center of the habitat. Some differences from smaller Trojan clusters are dictated by Locus’s size. The immense structural spars radiating from the habitat’s center are hollow, with arterial floatways and elevator-trams running inside of them. Lesser spars run between the arterial spars, providing more mooring points for modules. Adjacent to each arterial spar are wide “roads” leading to the edge of the habitat so that modules can maneuver out if the owners decide to leave.

Beneath the shimmering mesh stretched over the geodesic frame to keep out micro-asteroids, tens of thousands of small ships and habitat modules moored along the spars pulse with an ever-changing array of lights. Habitat modules and large ships are asked to stay out of the conical empty space. This space teems with small craft and people on thrustpacks or voidscooters as they cross the habitat, play zero-g games, or visit the free- oating spimes and sculptures that dot the area. The Amoeba, which periodically changes color and shape based on its resident AI’s programming (often it looks like some sort of animal), serves as a central reference point for navigation. When someone gives the address for a module, it is as a point on a spherical coordinate system with the Amoeba at its center. Large ships and shuttles dock on the outer surface of the habitat, at the terminal points of the arterial spars.

Locus was founded by a joint anarchist-argonaut venture and was the first major stronghold for the autonomist factions. Unlike Extropia, which has the tacit blessing of the Planetary Consortium and encourages the presence of security and insurance companies, Locus runs on a pure reputation economy. Security, maintenance, expansion, and defense of the habitat are all performed by volunteers. Inhabitants interested in security monitor incoming ships and operate crowdsourcing systems that dispatch volunteers to perform WMD scans on new arrivals. Ships that won’t submit to a scan are asked to leave. If they don’t, anyone who’s designed a cool new weapons system recently is welcome to take a shot.

Locus is a focal point in the cold war between the hypercorp-aligned inner system powers and a loose coalition of outer system interests. While saboteurs from the Planetary Consortium and other hostile entities can and do occasionally cause trouble on Locus, the hypercorps are currently unwilling to attempt a direct military attack on the habitat. The first time they tried, the Planetary Consortium and the Martian city-state of Valles-New Shanghai sent a small expeditionary fleet. The interlopers were caught completely off-guard by a erce and well-coordinated defense. Six months later, they sent a much larger fleet. Help arrived from elsewhere in the Trojans and Greeks and from Titan, whose citizens took a dim view of any Planetary Consortium expansion beyond the belt. The Titanians now maintain a permanent base near Locus. Rumor has it they agreed to a mutual defense pact with one of Locus’s citizens, possibly the famous programmer-armsman Teilhard Liu.",1000000,,,EP.101
Lot 49,,The Trojans,Habitat,"Lot 49 is moored to the small asteroid 28349 Pynchon in the amorphous Vonarburg-Shadyside neighbor- hood, toward the center of the L4 Greeks. Vonarburg- Shadyside is named after two rocks that roughly delimit its 500,000-kilometer length along the arc of Jupiter’s orbit. Neighboring habitats within 100,000 kilometers (with populations) include Craftsbury (450), Greenview (28), and Blackhawk (1020). With a population of 400, this station is more or less typical of the Trojans in terms of layout.

From the outside, Lot 49 looks like a shiny, meshed-over geodesic sphere, 800 meters in diameter, with numerous protruding instrument spars and some triangles left open to space so that shuttles can pass through. The mooring to the asteroid is temporary in case a potential collision is detected. Inside, a central utility module with a communal reactor, factories, and machine bay is surrounded by evenly spaced but irregularly shaped habitat modules in a riot of colors and lighting schemes. Structural spars and  oatways connect everything. One entire spar is given over to a rotating cylindrical module that generates about 0.7 g and contains medical, cloning, resleeving, and darknet egocasting facilities.

Lot 49’s population and most of their neighbors in Vonarburg-Shadyside tend to align with the scum and anarchist factions and speak a mixture of English, Portuguese, and Thai. Lot 49 is in a densely inhabited part of the Greeks, placing it near a crossroads. Main economic activities include shuttle design, whaling, and ferrying people and goods around the region.",400,,,EP.101
The Trojans,,Jupiter,Region,"The Trojans and Greeks are two 600 million kilometer-long arcs of scattered, icy-rock asteroids sharing the orbit of Jupiter. They orbit in the stable L4 and L5 points sixty degrees ahead of and behind the giant planet. Mars and Neptune also have Trojan asteroids, but when someone speaks of “the Trojans” they’re normally talking about the Jovian groups. In the early days, L4 asteroids (ahead of Jupiter) were named after Greek heroes of Homer’s Iliad; L5 asteroids (trailing Jupiter) were named after heroes of Troy. Asteroids discovered more recently break the old convention, as there are far more objects in the Trojans than there were characters in the Iliad.

Politically, the Trojans and Greeks may be thought of as a collection of sometimes overlapping neighborhoods whose inhabitants tend to group around particular cultures, factions, and sometimes languages. A neighborhood in the Trojans might span anywhere from 250,000 to 2 million kilometers at its widest point. Within neighborhoods, almost everyone knows one other. Because of the wide dispersion of resources, Trojan habitats tend to be small—from one to two thousand people—and built largely along scum barge or cluster lines (although it is never advisable to refer to someone’s habitat as a scum barge unless they refer to it that way first).

Resources and Economics

Although the sheer size of the two regions means a lot of cultural diversity, anarcho-collectivism is a powerful meme here and the reputation economy is prevalent. On one hand, neighborhoods, habitats, and even individuals are expected to be self-suf cient. Unlike the denser Main Belt, the Trojans lack the safety net provided by pervasive transhuman presence. The ideal Trojan or Greek is a Neo-Renaissance being, incredibly competent in a wide variety of fields. A person who can’t maneuver in zero g; maintain their gear, ship, and hab; and navigate between rocks and habitats can have a tough time surviving. At the same time, a spirit of cooperation prevails. Bartering services or even gifting them to gain reputation is common. Everyone appreciates a specialist, as long as they’re not specialized at the expense of baseline self-sufficiency.

Prospecting and salvage are major activities in the Trojans, where metals and rare elements are scarce and settlers don’t usually have the economic muscle to import raw materials from elsewhere. However, the Trojans are rich in silicates, volatiles, and carbonaceous materials. Necessity has led to many innova- tions in materials science. Beyond the simple problem of raw materials, the widely scattered habitats of the Trojans have to be wildly inventive on many levels to retain their independence. New robot, morph, and vehicle designs appear all the time, enabling an unusual array of business and leisure activities, like whaling (organizing a flash flotilla to rapidly mine asteroids and comets with erratic orbits as they pass near the Trojans), mekking (simulated—or sometimes real—combat between robotic suits or synthetic morphs on uninhabited asteroids with interesting terrain), and shrining (stealthing up on another habitat and resurfacing it with nanosculpters to create an art object—mostly a scum barge pastime).",,,,EP.101
Saturn,,,Body,"The second largest planet in the system is a much more favorable habitat for transhumans than Jupiter. Saturn’s lower gravity and milder magnetosphere are a boon to gas mining operations, and for resource-hungry habs, the rings are a feast (literally, in the case of the new Hamilton cylinder type habitats). Hypercorps have a presence here, but any major expansion by the Planetary Consortium is kept in check by the anarchist stations of the rings and the technosocialist commonwealth of Titan.

Because Saturn is so distant from the sun, solar power generation is extremely inefficient. Growing photosynthetic plants with sunlight is impossible without large arrays of mirrors to focus the light. The abundance of water and volatiles makes the rings ideal for both scum barges and Hamilton cylinders. Gas mining is vital to the survival of almost every habitat and moon settlement in the Saturnian system, so habitats located further out from the planet that wish to be self-sufficient almost always maintain their own gas mining stations close to the planet. Security for these installations and the atmospheric skimmers and tankers they dispatch is tight, and it is never advisable to approach one unannounced.

Resources and Economics

Gas mining on Saturn supplies 30 percent of the system’s reactor mass. This role is expected to grow as helium-3 deposits in the Lunar regolith become less accessible. For ships traveling to the far reaches of the outer system, Saturn is an important alternative to using Jupiter for gravity assists. Less restrictive than Jovian regimes and richer in resources than the Trojans, Circumsaturnine habs and settlements are important innovators in habitat design and cultural organization. Since the discovery of the Pandora gates, the Titanian Commonwealth is the only entity actively pursuing interstellar exploration through conventional means. 

The Rings and Classical Minor Moons

Saturn’s rings are made up of countless small icy objects, most of which range in size from dust specks to boulders 10 meters in diameter. The rings are designated by the letters “A” through “F” in the order in which they were discovered. They vary in thickness between 100 and 1,000 meters and in width from 20,000 kilometers down to just meters. In places there are gaps between rings. The widest, the Cassini division, is 4,000 kilometers across. 

Saturn has over 60 satellites, a number that jumps into the hundreds if one includes the uncounted objects less than a kilometer across orbiting in the A ring. Most of Saturn’s moons are small, rocky, ice objects less than 100 kilometers in diameter. The smallest of the classical moons, Pan, is only 10 kilometers across. The first eight moons, from Enceladus inward, lie within the ring system. Atlas, at the edge of the A ring, and Prometheus and Pandora, which flank the thin F ring, are known as the shepherd moons. Several of the moonlets occupy Lagrange points relative to larger moons. Telesto and Calypso share the orbit of much larger Tethys, while Helene trails another large moon, Dione.",,9.54,,EP.102
Atlas,,Saturn,Body,"Volkov, a Slavic energy cartel, controls this tiny moon. Volkograad is a beehive habitat with about 50,000 residents. Much of the moon is given over to skim- ming, refining, and shipping infrastructure. A cloud of wreckage trailing the moonlet by about 100,000 kilometers serves as a reminder of the Atlas Incident, a brief but massively destructive battle that erupted when Fa Jing attempted a buyout of the moon. Tinkers from Phelan’s Recourse still salvage the oating derelicts regularly.",50000,,,EP.103
Dione,,Saturn,Body,"Dione’s main settlement is Thoroughgood (population 350,000), a hybrid beehive and orbital cluster habitat set on a plateau amid a dramatic range of ice cliffs. Dione hosts the Long Array, a 150 kilometer- high communications spar ascending from the surface settlement to an orbital station that acts as a counterweight. The Long Array’s sheer size is something of a publicity stunt, as the bulk of its capacity goes unused. However, it drew enough attention to make Thoroughgood a major communications hub for the outer system, and thus a place where hypercorp, anarchist, and other factional interests meet. Dione shares its orbit with Helene, a tiny, rocky moon at its L4 point, and Polydeuces, an even smaller body that trails it at the L5 point.",35000,,,EP.103
Enceladus,,Saturn,Body,"Rich in organic compounds, Enceladus is a biochemist’s playground. Profunda (population 850,000) is the major settlement, a beehive dug into the moon’s surface capped by domed parks and clusters of sleek, translucent minarets—well protected from collisions by an aggressive satellite defense network. The lower levels, stretching deep into Enceladus’s icy silicate mantle, include a prospecting operation that extracts carbonaceous soils in search of exotic compounds. Another deep section has been converted into a kilometers-wide, reactor-heated primor- dial sea, part of a long-term experiment into the origins of life supported jointly by Titanian academics and a collective of Enceladian biochemists.

Profunda is run along anarcho-capitalist lines. Thanks to the rich supply of organic chemicals, its upper reaches are home to many of the outer system’s best-known morph designers. The Enceladian Glitter Bloc is said to have as much influence over body styles as the Lunar fashion houses do over what people wear.",850000,,,EP.103
Twelve Commons,,Saturn,Zone,"These twin small, icy moonlets share virtually the same path around Saturn, orbiting within 50 kilometers of each other. Set between the F and G Rings, the moonlets form the center of Twelve Commons, a neighborhood of small and mid-size habitats arranged in a flat cloud about 20,000 kilometers in radius. About six million people live in Twelve Commons. Habitats in Twelve Commons range in size from Dang Fish Echo, a tin can hab housing about 60 eccentric aquaculturists, to Janus Common, a beehive occupying much of Janus with a population of 900,000. Some of the habitats in Twelve Commons feature very unusual designs, such as Nguyen’s Compact (population 80,000), a variant Cole habitat in the G ring where an asteroid was heated and large amounts of steam were blown through it to produce a series of interconnected bubbles between five and three hundred meters in diameter. In effect, the interior of the colony is like a solidi ed foam or Swiss cheese with no obvious up or down. Without an ecto or basic implant to provide location and navigation infor- mation, navigating through this maze-like habitat would be exceedingly difficult.

The habitats of Twelve Commons organize themselves primarily along open-source anarcho-syndicalist lines, with work groups and research pods acting as the basic political unit.",6000000,,,EP.103
