Title,Level,Type,Action,Range,Duration,Strain,Linked,Description,Effect,Skills,Stats,Conditional,Exsurgent,Source
Ambience Sense,Chi,Passive,Automatic,Self,Constant,,,"This sleight provides the async with an instinctive sense about an area and any potential threats nearby. The async receives a +10 modifier to all Investigation, Perception, Scrounging, and Surprise Tests.",,"Investigation 10, Perception 10, Scrounging 10",,FALSE,FALSE,EP.223
Cognitive Boost,Chi,Active,Quick,Self,Temporary,(1d10 / 2) - 1,,"The async can temporarily elevate their cognitive performance. In game terms, Cognition is raised by 5 for the chosen duration. This boost to Cognition also raises the rating of skills linked to that aptitude.",,,COG:5,TRUE,FALSE,EP.223
Downtime,Chi,Active,Task,Self,Sustained,1d10 / 2,,"This sleight provides the async with the ability to send the mind into a fugue-state regenerative downtime, during which the character's psyche is repaired. The async must enter the downtime for at least 4 hours; every 4 hours of downtime heals 1 point of stress damage. Traumas, derangements, and disorders are unaffected by this sleight. For all sensory purposes, the async is catatonic during downtime, completely oblivious to the outside world. Only severe disturbances or physical shock (such as being wounded or hit by a shock weapon) will bring the async out of it.",,,,FALSE,FALSE,EP.224
Emotion Control,Chi,Passive,Automatic,Self,Constant,,,"Emotion Control gives the async tight control over their emotional states. Unwanted emotions can be blocked out and others embraced. This has the benefit of protecting the async from emotional manipulation, such as the Drive Emotion sleight or Intimidation skill tests. The async receives a +30 modifier when defending against such tests.",,,,FALSE,FALSE,EP.224
Enhanced Creativity,Chi,Passive,Automatic,Self,Constant,,,"An async with Enhanced Creativity is more imaginative and more inclined to think outside the box. Apply a +20 modifier to any tests where creativity plays a major role. This level of ingenuity can sometimes seem strange and different, manifesting in odd or creepy ways, especially with artwork.",,,,FALSE,FALSE,EP.224
Filter,Chi,Passive,Automatic,Self,Constant,,,"Filter allows the async to filter out out distractions and eliminate negative situational modifiers from distraction, up to the gamemaster's discretion.",,,,FALSE,FALSE,EP.224
Grok,Chi,Active,Complex,Self,Instant,(1d10 / 2) - 1,,"By using the Grok sleight, the async is able to intuitively understand how any unfamiliar object, vehicle, or device is used simply by looking at and handling it. If the character succeeds in a COG x 2 Test, they achieve a basic ability to use the object, vehicle, or device, no matter how alien or bizarre. This sleight does not provide any understanding of the principles or technologies involved: the psi user simply grasps how to make it work. If a test is called for, the psi user receives a +20 modifier to use the device (this bonus only applies to unfamiliar devices, and/or tests the character is defaulting on it does not apply to devices the character is familiar with).",,,,FALSE,FALSE,EP.224
High Pain Threshold,Chi,Passive,Automatic,Self,Constant,,,"This sleight allows the async to block out, ignore, or otherwise isolate pain. The async reduces negative modifiers from wounds by 10.",Ignore penalties from 1 wound,,,FALSE,FALSE,EP.224
Hyperthymesia,Chi,Passive,Automatic,Self,Constant,,,"Hyperthymesia grants the async a superior autobiographical memory, allowing them to remember the most trivial of events. A hyperthymestic async can be asked a random date and recall the day of the week it was, the events that occurred that day, what the weather was like, and many seemingly trivial details that most people would not be able to recall.",,,,FALSE,FALSE,EP.224
Instinct,Chi,Passive,Automatic,Self,Constant,,,"Instinct bolsters the async's subconscious ability to gauge a situation and make a snap judgment that is just as accurate as a careful, considered decision. For Task Actions that involve analysis or planning alone (typically Mental skill actions), the async may reduce the timeframe by 90% without suffering a modifier. For Task Actions that involve partial analysis/planning, they may reduce the timeframe by 30% without penalty.",,,,FALSE,FALSE,EP.224
