Title,Code,Type,Description,URL,Download,Weight
Eclipse Phase,EP,Core Book,,http://eclipsephase.com/releases/eclipse-phase-core-rulebook,,1
Morph Recognition Guide,MRG,Core Book,,http://eclipsephase.com/releases/morph-recognition-guide,,2
Transhuman,TH,Core Book,,http://eclipsephase.com/releases/transhuman,,3
Quick-Start Rules,QSR,Core Book,,http://eclipsephase.com/releases/eclipse-phase-quick-start-rules,,4
X-Risks,XR,Sourcebook,,http://eclipsephase.com/releases/x-risks,,5
Firewall,FW,Sourcebook,,http://eclipsephase.com/releases/firewall,,6
Rimward,RW,Sourcebook,,http://eclipsephase.com/releases/rimward-outer-system,,7
Panopticon,PAN,Sourcebook,,http://eclipsephase.com/releases/panopticon,,8
Gatecrashing,GC,Sourcebook,,http://eclipsephase.com/releases/gatecrashing,,9
Sunward,SW,Sourcebook,,http://eclipsephase.com/releases/sunward-inner-system,,10
Zone Stalkers,ZS,Sourcebook,,http://eclipsephase.com/releases/zone-stalkers,,11
The Stars Our Destination,TSOD,Sourcebook,,http://eclipsephase.com/releases/stars-our-destination,,12
NPC File 01: Prime,NPC01,Sourcebook,,http://eclipsephase.com/releases/npc-file-01-prime,,13
Million Year Echo,MYE,Adventure,,http://eclipsephase.com/releases/million-year-echo,,14
The Devotees,TD,Adventure,,http://eclipsephase.com/releases/devotees,,15
Ego Hunter,EH,Adventure,,http://eclipsephase.com/releases/ego-hunter,,16
Continuity,CON,Adventure,,http://eclipsephase.com/releases/continuity,,17
Glory,GLO,Adventure,,http://eclipsephase.com/releases/glory,,18
Bump in the Night,BitN,Adventure,,http://eclipsephase.com/releases/bump-night,,19
Mind the WMD,MtWMD,Adventure,,http://eclipsephase.com/releases/eclipse-phase-quick-start-rules,,20
