Strain,Stage,Description,Timeframe,Stress,Weight
Haunting,Stage 1,"Upon initial infection, the character suffers 1d10 mental stress and gains the Psi trait (p. 147, EP) at Level 1 (also meaning they pick up the Mental Disorder trait, as noted on p. 150). They also gain one free psi-chi sleight, chosen randomly or by the gamemaster. If a player character has become infected, they may still be played as normal (see Roleplaying Exsurgents, p. 369) and may purchase new psi-chi sleights with Rez Points. NPCs acquire 1 new sleight per 2–4 weeks.

At this stage, the infection is usually hidden, though the character will suffer from occasional haunting effects (see below). As each week passes, the character’s personality should shift a minute amount, slowly becoming more callous and conniving and changing in other ways as well. If possible, the player should be kept in the dark about what is happening, but the gamemaster should provide them with roleplaying advice to reaect their condition. Likewise, the discovery and initial use of psi sleights should be played out, providing some interesting roleplaying opportunities. Characters and players who know of the exsurgent virus and Watts-MacLeod strains should not know at this point which strain they are infected with—make them sweat.",0-12w,1d10,1
Haunting,Stage 2,"The target suffers another 1d10 ÷ 2 (round up) mental stress and acquires the Psi trait at Level 2 (also picking up another disorder). Player characters may still be played as normal and may purchase psi-gamma slights with Rez Points. NPCs acquire 1 new sleight per 2–4 weeks.

Once three months have passed, the character should be aware they are under the influence of something, but this awareness likely comes too late. Haunting effects should occur regularly. At this point a character is likely to consider seeking help, actively encouraging others to interfere, or offing themselves and resorting to an uninfected backup. The infection will actively block and hinder such thoughts and actions, however. To actively overcome this mental control, the character must succeed in a WIL Test. At the gamemaster’s discretion, failure may result in 1d10 ÷ 2 (round up) mental stress as the character realizes they are no longer fully in control of their own thoughts and actions.",12w-24w,1d10 / 2,2
Haunting,Stage 3,The victim suffers another 1d10 ÷ 2 (round up) mental stress and acquires the Psi trait at Level 3. The character is now considered an exsurgent and becomes an NPC. It may no longer be played as a player character. The victim also gains a permanent +5 bonus to COG and WIL and acquires 1 new sleight every 1–2 months.,24w,1d10 / 2,3
Xenomorph,Stage 1,"The effects from Stage 1 of the haunting virus apply. Additionally, the character begins to suffer minor physical changes that are de nitely unusual but are not impeding in any way and are easily hidden from others. Example biomorph alterations might be: unusual hair or  brous growth, some skin discoloration or translucence, severe rashes, dermal thickening, weakened or enhanced sensory organs, strong body odor, hair loss, teeth gain or loss, vestigial tail or other limb growth, minor dietary changes, and so on. Synthmorphs might experience minor system glitches, malfunctioning or improved components, and spots of material stress or trans guration. Gamemasters are encouraged to be creative. This stage typically lasts from initial infection to 1 week for biological nanovirus strains, or from infection to just 1 hour for nanoplague strains.",,,1
Xenomorph,Stage 2,"As with haunting virus Stage 2, plus the character begins to seriously transmogrify in ways that are dif cult to hide from others, becoming more and more monstrous as the stage progresses. Example biomorph transformations include: growing scales or feathers, partial modi cation of limb structure, partial new limb growth, vestigial sensory organ growth, sensory loss, extension of claws or spines, severe dietary changes, etc. Synthmorphs might experience radical system and shape alterations, limited or enhanced sensor functions, or even conversion of their robotic shell to smart materials. These physical changes weaken the victim, in icting 1d10 physical damage. This stage typically lasts 1 week for biological nanovirus strains or just 1 hour for nanoplague strains.",,,2
Xenomorph,Stage 3,"As with haunting virus Stage 3, a character reaching this stage becomes an NPC. Additionally, the victim completely undergoes a transformation into some sort of creature that is no longer even remotely human. Example exsurgents of this nature are detailed on p. 367.",,,3
Chrynalus,Digital Infection,"The digital virus operates as described on p. 364, EP. Any AIs, infomorphs, or cyberbrains that become infected do not immediately become exsurgents, however. Instead, they suffer 1d10 − 2 SV per hour and are inflicted with paranoia, delusions, hallucinations, and other mental disorders as they descend into madness.",,,1
Chrynalus,Basilisk Hack,"At normal speed, the hack is an audible series of dissonant tones. At a slower speed, it plays at a frequency barely noticeable to the unaugmented ear and may ride on something as innocuous as radio static. This hack follows the rules for incapacitating inputs (p. 365, EP). Many victims fall prey to the basilisk hack, which keeps them incapacitated until the nano- plague converts them to exsurgents.",,,2
Chrynalus,Stage 1,"Infected characters and items display no outward signs of infection at first. The first stage of infec- tion attacks the host’s cognitive functions even as nanobots co-opt nerve tissue for the virus’s purpose. Intense, terrifying hallucinations quickly drive even resilient minds insane. Inside the character or item, the nanobots build up strange synthetic growths. Victims acuire the Mental Disorder (Hallucinations) trait.",0-3h,1d10 - 2 per hour,3
Chrynalus,Stage 2,"The infection becomes visible as the growing masses inside the body—called chrysacids—pierce the surface and start growing. Infected characters continue to be plagued by nightmarish visions and suffer even further as they watch the chrysacids first puncture their skin or shell, taking an additional SV 2d10.",3h-1d,1d10 - 2 per hour,4
Chrynalus,Stage 3,"Stage three sees chrysacids growing into limbs up to three meters in length and exhibiting a life of their own, engaging in limited autonomous movement and sensory processing. Most victims become insane exsurgents by this point, attacking anything they see. As the chrysacids grow, they drain the life from their biological hosts. Biomorphs suffers 1d10 DV per day.",1d-1w,1d10 - 2 per hour,5
Chrynalus,Stage 4,"The larger chrysacid growths eventually break off, scurrying about as independent critters. Biomorphs eventually succumb and die, but the chrysacid growths live on.",1w,1d10 - 2 per hour,6
Chrynalus,Chrysacid exsurgents,"The psychic assault on the victim’s mind remains a constant throughout infection and eventually renders victims incapable of technical skills and all higher thought. Characters who reach their Lucidity in stress become exsurgents. While biomorph exsurgents do not last, synthmorphs and machines will continue to sprout new chrysacid growths as long as the nano- plague has access to raw materials. See p. 99 for more details on chrysacid exsurgents.",,,7
Brancusi,Stage 1,"During the first 10 minutes of infection, the char- acter begins to lose control of their body. Each Action Turn they must make a WIL x 3 Test to direct their own physical actions, otherwise their morph will move of its own accord. Most actions seem random, often taking poses or testing the morph’s range of movement, but they will sometimes be erratic, jerky, or even violent, under the virus’s control.",0-10m,1d10 + 3,1
Brancusi,Stage 2,"Against their will, the character freezes in place, usually posing in an unnatural manner. Then, over the next hour, they will undergo a transformation. Organic components of the morph are typically shed in a horrific display of gore, though in some cases they are simply transformed into a new, immobile biological form. Most infected will keep some of their old appearance in their new form. It will generally have a recognizable face and parts of its body can be seen embedded in the machine. Some could serve mundane purposes, such as server farms, heat sinks, or defense systems. Others are designed with unknowable TITAN interests in mind, or are simply broken or incomplete. Every brancusi has its own unique design and features. If a group of morphs are infected at the same time, they are usually merged into a cluster, their bodies wrapping around each other, a single gestalt sculpture.

At this stage, egos have no control over their morph, but they may still act mentally or even evacuate the morph if they have a cyberbrain. As each hour passes, however, the virus will slowly transform their mind.",10m,1d10 + 5 per hour,2
