name,shortname,type,description,cost,minimum,blueprints,source,mobility,effect,Skills,stats,conditional,armor,replaces,weapon,movement,morphs
Basic Biomods,Biomods,Standard Augmentation,"Almost universal in biomorphs, many habitats will not allow individuals to visit/immigrate if their biomorph does not possess these biomods in order to preserve public health. Basic biomods consists of a series of genetic tweaks, tailored virii, and bacteria that speed healing, greatly increase disease resistance, and impede aging. A morph with basic biomods heals twice as fast as an early 21st century human, gradually regrows lost body parts, is immune to all normal diseases (from cancer to the flu), and is largely immune to aging. In addition, the morph requires no more than 3-4 hours of sleep per night, is immune to ill-effects from long-term exposure to low or zero gravity, and does not naturally suffer from biological problems like depression, shock reactions after being injured, or allergies.",Moderate,,TRUE,EP.300,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Basic Mesh Inserts,Mesh Inserts,Standard Augmentation,"Mesh inserts are ubiquitous among modern morphs. This network of cybernetic brain implants is essential equipment for anyone who wants to stay connected and make full use of the wireless mesh. The interconnected components of this system include: *Cranial Computer: This computer serves as the hub for the character's personal area network and is home to their muse. It has all of the functions of a smartphone and PDA, acting as a media player, meshbrowser, alarm clock/calendar, positioning and map system, address book, advanced calculator, file storage system, search engine, social networking client, messaging program, and note pad. It manages the user's augmented reality input and can run any software the character desires. It also processes XP data, allowing the user to experience other people's recorded memories, and also allowing the user to share their own XP sensory input with others in real-time. Facial/image recognition and encryption software are included by default. *Radio Transceiver: This transceiver connects the user to the mesh and other characters/devices within range. It has an effective range of 20 kilometers in deep space or other locations far from radio interference and 1 kilometer in crowded habitats. *Medical Sensors: This array of implants monitors the user's medical status, including heart rate, respiration, blood pressure, temperature, neural activity, and much more. A sophisticated medical diagnostic system interprets the data and warns the user of any concerns or dangers. Using any of these functions is as easy as thinking.",Moderate,,TRUE,EP.300,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Cortical Stack,,Standard Augmentation,"A cortical stack is a tiny cyberware data storage unit protected within a synthdiamond case the size of a grape, implanted at the base of the skull where the brain stem and spinal cord connect. It contains a digital backup of that character's ego. Part nanoware, the implant maintains a network of nanobots that monitor synaptic connections and brain architecture, noting any changes and updating the ego backup in real time, right up to the moment of death. If the character dies, the cortical stack can be recovered and they may be restored from the backup. Cortical stacks do not have external or wireless access (for security), they must be surgically removed. Cortical stacks are extremely durable, requiring special effort to damage or destroy. They are commonly recovered from bodies that have otherwise been pulped or mangled. Cortical stacks are intentionally isolated from mesh inserts and other implants, as a security measure to prevent hacking or external tampering.",Moderate,,TRUE,EP.300,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Active Countermeasures,,Software,"This code helps an infomorph resist brainhacking (p. 148) by installing additional firewalls and layers of security applications within the infomorph's digital mind. The infomorph (or anything else serve as active security for its mind-state) receives a +10 modifier on attempts to zero in on spotted intruders (p. 257, EP). Defensive Mode: The countermeasures may also be triggered into a more secure defensive mode with a Quick Action. While defensive mode is activated, the infomorph and its active security receive a +10 modifier on attempts to lockout intruders (p. 258, EP) or resist entrapment, puppeteering, or scorching (p. 261, EP). The defenses provided by this mode are sufficiently intensive, however, that they cause minor delays to any mesh actions undertaken by the user. As a result, the infomorph suffers a -1 reduction to Initiative.",High,,TRUE,TH.140,,+10 to spot or lockout intruders,,INIT:-1,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Autodelete,,Software,"Though infomorphs can voluntarily delete themselves, there are some cases where a device's permissions may not allow it or the infomorph may be trapped on a lockbox (p. 146). To prevent capture, interrogation, or slavery, the infomorph can activate the autodelete plug-in as a Quick Action, which then attempts to delete the ego, even if it is running on a device that would not ordinarily permit it to do so. Auto-delete plug-ins may also be programmed to activate in response to certain inputs: for example, a perceived code phrase, a detected cyberbrain hack attack attempt, a designated time period, or upon failure to receive a periodic message. To successfully delete the ego on a system where deletion privileges are denied, the installer of the plug-in must make a successful Infosec Test. If the system is actively monitored, this is a Variable Opposed Infosec Test against the monitor. If only the installer succeeds, the infomorph is deleted immediately. If both the installer and monitor succeed, the infomorph is corrupted but not fully deleted. At the gamemaster's discretion, the ego may still be treated as a gamma fork or its digital remains prodded and analyzed via Psychosurgery with a -30 modifier. If the monitor alone succeeds, the auto-deletion fails and will not work again on that device. If both fail, continue to make the test again each Action Phase until one or both succeed. Forknappers and interrogators routinely check their victims for this plug-in (p. 148), so it is usually concealed with a digital veil (below). A detected plug-in may be eliminated via standard brainhacking (p. 148). This plug-in is commonly used on forks-often without their knowledge. Some polities, in fact, legally require forks to be equipped with this plug-in.",Low,,TRUE,TH.139,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Copylock,,Software,"This plug-in has two uses. The first prevents an infomorph from voluntarily copying/forking itself. This also prevents the ego from resleeving into a physical morph. This is a common plug-in used on forks, indentures, or people that really don't trust themselves. This feature can be disabled with the proper passcode used by the installer. The second use is to make it more difficult for an active infomorph to be involuntarily copied. This is a common precaution infomorphs take when running on untrusted devices against the threat of forknapping (p. 149). Anyone that brainhacks this infomorph and attempts to make an involuntary copy suffers a -30 penalty to the Infosec Test needed to accomplish this task (in addition to the normal -30 modifier for brainhacking). Either of these features can be disabled with the proper passcode used by the installer.",Low,,TRUE,TH.139,,"-30 against brainhacking, copying",,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Digital Veil,,Software,"This code masks the presence of any installed plug-ins and upgrades (including itself). The character must choose which are hidden (any installed after the veil is installed are not hidden unless the veil is re-installed). Anyone attempting a standard scan on the infomorph for plug-ins and upgrades (p. 148) will fail to detect the concealed software. At the gamemaster's discretion, an Excellent Success on the scan may pick up an anomaly to warrant deeper analysis. A more thorough and lengthy scan (an Infosec or Programming Task Action with a -30 modifier and a base time of 60 minutes) will reveal the presence of 1 plug-in or upgrade, plus 1 per 10 points of MoS. This plug-in also applies a -20 modifier to psych scans (p. 148) performed on the infomorph. It is illegal in many habitats and polities.",Expensive,,FALSE,TH.139,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Emergency Backup,,Software,"This plug-in automatically broadcasts a copy of the infomorph's ego through the mesh to a predetermined secure storage site every 48 hours. This interval may be voluntarily modified, keeping in mind that ego broadcasts tend to be intentionally limited as a precaution against interception/forknapping and that such transmissions hog bandwidth. To use this upgrade, characters must either purchase backup insurance or arrange for a private server to store the backup copies of their ego. To prevent ego theft, the backup copies are transmitted using quantum cryptography (p. 254, EP). To intercept and make use of an ego backup sent in this fashion, the would-be thief must somehow gain access to one of the quantum keys used in the exchange.",Moderate,,TRUE,TH.140,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Hacking Alert,,Software,"This plug-in launches a suite of running processes running that monitor the simulated mind-state and keep track of any lost time, inconsistencies in events, or other evidence of involuntary brainhacking or psychosurgery. If the character is mind hacked or subjected to involuntary psychosurgery, the hidden/ covert intruder or psychosurgeon must make an Infosec or Psychosurgery Test at -30. Cyberbrain hackers suffer the usual -30 subversion modifier, but a hidden intruder receives their standard +30 bonus. If the test does not score an Excellent Success (MoS 30+), the victim is alerted immediately (or when they next awake). Alerted infomorphs do not receive information on what has been changed (beyond the obvious), they are only informed that their mind was involuntarily altered. Note that psychosurgery or memory hacking can be used to make a victim forget the hacking alert warnings. Unless the hacking alert plug-in is also disabled or hacked, however, it will retain a log of the warnings.",Low,,TRUE,TH.140,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Impersonate,,Software,"This upgrade provides the user with a library of mannerisms, vocal patterns, and other social cues. This aids Impersonation Tests, even when communicating verbally or via avatars, providing a +10 bonus. The processor in this upgrade can also help analyze a target's mannerisms and duplicate them more effectively. To duplicate someone's patterns, the character must first observe their interactions and make a Kinesics Task Action Test with a timeframe of 1 hour. Success allows them to accumulate a sufficient quantity of data to allow this upgrade to duplicate this person's phrasing and patterns of digital activity; increase the modifier for Impersonation Tests to +30 to impersonate the target. Note that this upgrade does not provide the character with the skills, memories, or other traits of the ego they are impersonating. This upgrade can also be set to randomize the emotive patterns exhibited by the user, so their phrasing and mannerisms do not identify them as anyone. This applies a +30 modifier to the Deception or Impersonation rolls in Opposed Tests when someone else is trying to use Kinesics to identify the character's true identity.",High,,TRUE,TH.140,,,Impersonation 30,,TRUE,,TRUE,,,"Synthmorph,Pod,Eidolon"
