name,shortname,type,description,cost,minimum,blueprints,source,effect,delivery,onset,duration,addiction type,addiction mod
Petals,,Nanodrugs,"Petals is a term for a type of narrative hallucinogen, a nanodrug that hijacks the senses and takes the user on a game-like, highly immersive trip. Known by a myriad of intriguing names (Forgotten Hand, Darkly Selving, Inquisitive Green, to name a few). Petals are post-Fall society's heroin""the drug of choice for the desperate and fucked. Petals almost always appear as nanopharmaceutical flowers, potted or with a nutrient pack attached to the stem. Plucking and swallowing the petals from the flower triggers the effects immediately. Flowers have 5-10 petals. Multiple users may share the experience if they take the Petals within 1 minute of the first one being plucked; after this all petals remaining on the flower fade to translucent white and become inert. Petal experiences are like entire scenarios in and of themselves. Some take place entirely in the user's mesh inserts (the user must cede control of their implants voluntarily; if they do not, the drug has no effect other than producing very low-intensity LSD-like visual hallucinations), taking control of the character's entoptic displays, linking to secretive mesh servers and other trippers, and invading the character's sensorium with AR ""hallucinations."" Others put the character into a near-comatose state during which they go on a head trip. Normally there is some kind of well-developed theme or plot to a Petal experience, although in some cases they just experience a stream of images. Though most societies seek to suppress Petals, new ones appear constantly, fueled by a persistent sub-culture of crafters and users. Petalcrafters view their work as an art form (or at least as really good entertainment), and the better Petals are lovingly crafted, hauntingly beautiful experiences""even if they're also terrifying. The subculture of Petal use ranges from casual users who occasionally do an easy, short-duration flower to hardcore addicts who spend much of their time not on Petals trying to hunt down the most intense and esoteric varieties. From this subculture comes a lot of information on what various Petals look like and their effects. Because Petals combine custom nanobots with tailored chemical payloads and sometimes connections to mesh servers, duplicating them using fabricators is impossible, leading to an active market of crafters, dealers, and traders. Petals sometimes contain easter eggs and rewards, called ""sweets"" by petal users. Getting the sweets usually requires fulfilling certain conditions within the trip, such as correctly answering questions or fulfilling goals. Typical sweets include skillsofts, new clothing or product designs, and custom infomorph sleeves. On the negative side, some Petal trips go bad, inflicting 1d10 mental stress or more on the user. Perhaps worse, some Petals are loaded with malware that takes over the user's mesh inserts and worse""some sentinels even whisper of Petals carrying strains of the Exsurgent virus.",Variable,,FALSE,EP.322,,O,0,1d,Mental,
Buzz,,Drugs,"This gene-modified variant of BZ is an odorless, invisible, extremely powerful hallucinogen. Users or affected characters will undergo extremely realistic hallucinations for the duration, and may even ""share"" hallucinations with other affected characters. Characters will suffer a -30 modifier to any tests to remember what occurred while under the influence.",Moderate,,TRUE,EP.320,,"Inh,O",1h,1d 12h,Mental,
Grey Ranks,,Drugs,Grey ranks is a long-term memory suppression drug also available as a narcoalgorithm. It disrupts the user's memory formation processes without otherwise affecting their mental faculties. The Titanian intelligence services uses it on both field agents and in so-called “zero-retention” briefings.,Moderate,,TRUE,,Blocks memory formation,,,,,
Kick,,Drugs,"Kick is a strong stimulant that increases the user's response time and puts them on edge. The character gains +10 REF and +1 Speed for the duration of the drug. Characters under the influence of Kick are twitchy, however, reacting in a jumpy, cat-like fashion to sudden or unexpected stimuli. At the gamemaster's discretion, they must make a WIL x 2 Test or react without thinking towards unexpected noises or other surprises. Long-term users suffer -5 COO.",Moderate,,TRUE,EP.319,"+10 REF, +1 SPD","Inh,Inj,O",9s,2h,Physical,-10
Laughing Policeman,,Drugs,"This drug is a potent euphoriant used by Titanian intelligence for interrogations. It stimulates feelings of trust and well-being in the user, giving their interrogators a +20 bonus on Deception and Persuasion Tests to extract information.",Moderate,,TRUE,,"+20 Deception, Persuasion",,,,,
Neem,,Drugs,"Neem is a mnemonic drug that works by ""tagging"" experiences and mental input with a set of unique sensations that contribute to the formation of state-based memories. Neem gummy chews come in a variety of fruit flavors shaped like extinct old Earth animals. Neem gives characters a +20 bonus on COG Tests to recall information they learned while on Neem. The drawback to Neem is that memories they accumulate while under the drug's influence have no emotional association. For example, a character who witnessed something horrible happening to a friend or who had a fight with a romantic partner while on Neem would feel no emotional connection whatsoever to what happened.",Moderate,,TRUE,EP.318,+20 COG for recall tests,,,,,
Phlo,,Drugs,"Phlo increases alertness and coordination, making the user more graceful and nimble in a fray. The character gains +5 COO and +10 on Perception Tests for the duration of the drug. Everything feels possible to a character on Phlo, and so they are vulnerable to being goaded into actions that might be foolish or dangerous (apply a -10 modifier to appropriate Social Skill Tests).",Moderate,,TRUE,EP.319,"+5 COO, +10 Perception, -10 Social tests",O,20m,1h,Physical,-10
Frequency,Freeq,Nanodrugs,"Frequency (or Freeq) is a nanodrug designed as a tool for scientific visualization. It releases a small swarm of nanobots into the character's bloodstream that settle in the epidermis, where they act as sensors of electromagnetic radiation. This sensory input is then injected into the character's visual and tactile sensoria, hitting the user with a sequence of novel stimuli, typically a light show or weird tactile sensations. Aside from its recreational uses, Frequency is good at picking up on localized field radiation with a standard Perception Test. A character can take advantage of this to spot sensors and hidden electronics. Similar to now-obsolete 20th-century hallucinogens like LSD and psilocybin, however, a Frequency trip can be disorienting and upsetting (the gamemaster should apply any modifiers, mental stress, or even trauma as they feel appropriate). Characters typically experience a period about 1/3 of the way through their trip in which sensory input is extremely intense; during this period, which usually lasts about 2 hours, they are unable to read.",Moderate,,TRUE,EP.321,,"Inj,O",0,8h,,
Disruption,,Nanotoxins,"This nanotoxin attacks the myelin sheath on nerves, disrupting nerve impulses and inflicting symptoms of multiple sclerosis. Every hour the morph suffers a -5 modifier to COO, REF, and COG. If any aptitudes are reduced to zero, the morph is effectively paralyzed and catatonic.",Moderate,,TRUE,EP.324,"-5 COG, -5 REF, -5 COO per hour","D,Inj,O",0,1m,,
Necrosis,,Nanotoxins,"Necrosis nanobots attack the walls of cells inside the body, killing tissue. This nanotoxin inflicts 1d10 / 2 damage per Action Turn for one minute, after which the nanobots disable and flush from the body. Necrosis only affects biomorphs.",Moderate,,TRUE,EP.324,DV 1d10 / 2 per turn for 1m,"Inj,O",9s,1m,,
Neuropath,,Nanotoxins,"These nanobots are designed to stimulate the pain receptors of a morph on a systemic level to cause agony and impairment. While most neuropaths target biological receptors, variants are available that induce comparable (phantom) pain stimulations in the cyberbrains of synthmorphs to create an equivalent effect. The affected character must succeed in a WIL x 3 Test or become incapacitated. Even if they succeed, they suffer -30 from the inflicted agony. Any form of pain resistance that allows a character to ignore wound modifiers will negate the neuropath pain modifier by an appropriate amount.",Moderate,,TRUE,EP.324,,"D,Inj,O",9s,8h,,
Bananas Furiosas,,Drugs,"This drug reverses some of the effects of de-ionizing radiation on the cells of the body. Although a pill form is available, it most commonly comes in large bunches of bright orange-red bananas. Bananas reduce the severity of a radiation dosage (gamemaster determines effect).",Low,,TRUE,EP.319,,O,20m,1d,,
BringIt,,Drugs,"In some respects more a social than a combat drug, BringIt stimulates massive bursts of aggression pheromones designed to make the user the center of attention in a fight. In combat, opponents within 3 meters of the character not already in unarmed or melee combat with another character must pass a WIL x 3 Test or attack the character using BringIt. The nature of airborne pheromones is imprecise, however, so if the character using BringIt is within 1 meter of another character hostile to the character affected, the affected character may opt to attack the proximate character instead of the BringIt user. Characters using this drug suffer a -20 modifier on social skill tests.",Low,,TRUE,EP.319,WIL x 3 for all nearby to avoid attacking user,"Inj,Inh,O",1m,15m,Physical,10
Comfurt,,Drugs,"This tasty yogurt treat blocks stress hormones, stabilizes mood, and relieves anxiety, allowing them to ignore the effect of 1 trauma and temporarily boosting Lucidity by +5. Any stress suffered while the drug is in effect is taken from the bonus Lucidity first. Comfurt also provides a +10 bonus when resisting attempts to manipulate the user's emotions. Excessive use of Comfurt can lead to chronic itchiness caused by histamine release.",Low,,TRUE,EP.320,,O,20m,1h,Mental,
Drive,,Drugs,"This nootropic speeds up left-right brain hemisphere communication, stimulates idea production, and improves concentration, with no usual side effects. Users receive a +5 bonus to COG while the drug lasts.",Low,,TRUE,EP.318,+5 to COG,O,20m,8h,Mental,
Grin,,Drugs,"Grin is an effective opiate and pain suppressant. Users may ignore the -10 modifiers from 2 wounds (not cumulative with similar effects), and in fact may not even be aware they are injured. Grin users suffer from tunnel vision, however, and so suffer a -10 modifier on Perception Tests.",Low,,TRUE,EP.319,"Ignore 2 wounds, -10 Perception","Inj,Inh,O",9s,3h,Physical,-10
Hither,,Drugs,"Want to ooze sexy like a pleasure morph on a hot tin roof? For those desiring that slinky je-ne-sais-quoi, Hither is the tool. Hither is a clear, slippery gel, sometimes with a faint, musky, floral scent. Hither is applied to parts of the body with large concentrations of sweat glands, where the skin quickly absorbs it. Hither is a mild euphoriant, imparting a feeling of confidence and you-know-you-want-it-ness to the user. It also stimulates abundant production of lust pheromones. The character gains a +10 bonus on Persuasion Tests against targets who are possible to seduce. At the gamemaster's discretion, this extends to Deception, Impersonate, and Networking Tests.",Low,,TRUE,EP.321,+10 Persuasion w/seducible NPCs,D,1m,2h,Physical,-10
Hydra,,Drugs,This drug only affects neo-octopi physiology it provides a euphoric sense of detachment to the ego while also boosting the autonomous activity of neo-octopi arms.,Low,,TRUE,PO.151,,,,,,
Juice,,Drugs,"This potent anti-depressant makes it almost impossible to have bad feelings or negative thoughts. The character is unnaturally happy—often irritatingly or strangely so. The character receives a +30 bonus against fear or attempts to manipulate their emotions in a negative direction, but is also likely to act inappropriately, like giggling over the massive amount of spilled blood or cheerfully changing the subject to inane topics when someone else is freaking out.",Low,,TRUE,EP.321,"+30 against fear, intimidation","O,Inh",20m,8h,Mental,
Klar,,Drugs,"Klar boosts alertness and enhances clarity and perception. Users report a feeling of being ""elevated"" to a higher level. They receive +5 INT while the drug lasts.",Low,,TRUE,EP.318,+1 INT,O,20m,8h,Mental,
