NAME,TYPE,Stats,Skills,Armor,Stackable,Aptitudes,Blueprints,Cost,Minimum,Description,Book,Page
Adaptive Interface,Xenoarcheology,,,,,,TRUE,High,,Tool designed to interface with alien technology. Not for use with biotech or hyper advanced nanotech,GC,160
Faraday Container,Xenoarcheology,,,,,,TRUE,Low,,"A Specimen Container (EP 330) that also blocks all radio, electrical, and radiation.",GC,160
Scourers,Xenoarcheology,,,,,,TRUE,Moderate,,"Microswarm for uncovering buried artifacts. Systematically removes layers of dirt, locating and cleaning foreign objects.",GC,160
Crasher Truck,Vehicles,,,,,,FALSE,Crazypants,,"A less expensive version of the GEV (EP p. 348), except it has no rockets for space flight.",GC,163
Flux Car,Vehicles,,,,,,FALSE,Crazypants,,A Blackmarket stealth vehicle used for counter surveillance and tracking.,PO,158
Flying Flux Car,Vehicles,,,,,,FALSE,Crazypants,,A Blackmarket stealth vehicle that flies it is used for counter surveillance and tracking.,PO,158
Large Jet,Vehicles,,,,,,FALSE,Crazypants,,"A jet the size of a small 20th-century commercial airliner. Carries 150 passengers at 1,100 kph up to 40,000 km",GC,165
Outsystem Skimmer,Vehicles,,,,,,FALSE,Crazypants,,"A shuttle that can use hydrogen, methane, or water as reaction mass, allowing easy refueling. They can carry up to 8 passengers and 12 tons of cargo.",RW,194
Titanian Cargo Copter,Vehicles,,,,,,FALSE,Crazypants,,This massive dual-rotor helicopter takes advantage of Titan's atmosphere and gravity. It can carry 15 tons of cargo or 30 personnel.,RW,194
Cargo Hauler,Vehicles,,,,,,FALSE,Expensive,,A Large freight hauler equipped for off road use. Passenger compartments provide life support for two.,SW,168
Deep Sea Submarine,Vehicles,,,,,,FALSE,Expensive,,This mini-submersible is capable of carrying four passengers and a small amount of cargo all of the way to sea floor on Europa.,RW,193
Diving Exoskeleton,Vehicles,,,,,,FALSE,Expensive,,This hardsuit-like exoskeleton enables the wearer to swim in the high-pressure depths of subsurface oceans.,RW,193
Flux Cycle,Vehicles,,,,,,FALSE,Expensive,,A Blackmarket stealth enclosed cycle used for counter surveillance and tracking.,PO,158
Flying Car,Vehicles,,,,,,FALSE,Expensive,,"These highly-efficient, methane-powered, turbofan vectored-thrust vehicles are common on Mars, especially in the cities and larger settlements. The vehicle is the size of a small sedan, and the fans fold into the body when not in use, enabling it to also operate as a ground car. On the ground, they have a maximum velocity of 180 kph on roads, but only 60 kph off-road. Flying car cabins are pressurized, heated, equipped with radar and a radio booster, and provide life support for biomorphs unequipped to breath Martian atmosphere.",SW,168
Ground Car,Vehicles,,,,,,FALSE,Expensive,,A small economical ground vehicle used for intra habitat travel over roads.,SW,169
Lifeboat,Vehicles,,,,,,FALSE,Expensive,,A habitat lifeboat that can carry 100 people with food and water for 8 days.,PO,158
Martian Rover,Vehicles,,,,,,FALSE,Expensive,,"Large 8 wheeled vehicle has cramped living quarters for 6. Also features fabber, mobile lab, drone launching rack and 2 person airlock.",SW,169
Mobile Base,Vehicles,,,,,,FALSE,Expensive,,"A mobile, self unpacking, headquarters 25m to a side for 12 morphs. It includes a lab, beds, and several high quality makers. 2hrs to un/pack.",GC,165
Outsystem Hover,Vehicles,,,,,,FALSE,Expensive,,"This vehicle flies 3 meters above the ground, and its top speed is 150 kph over any terrain. They are pressurized and hold six passengers and cargo.",RW,194
Passenger Airship,Vehicles,,,,,,FALSE,Expensive,,A massive transport that is buoyant in the Venusians atmosphere can carry up to 100 passengers and 20 tons of cargo.,SW,169
Rocket Buggy,Vehicles,,,,,,FALSE,Expensive,,"This vehicle is the most common form of medium to long distance personal transport on Luna, and is in common on most other moons and large asteroids. On these airless worlds, a rocket buggy can reach orbit and return or take a parabolic path to any destination on that moon in less than an hour. This vehicle is also regularly used to travel between habitats that are less than 30,000 km apart. The vehicle is pressurized, but is designed for short duration travel only. The seats are relatively small and the life support system contains no provisions for recycling food or water and can only support the passengers for an absolute maximum of 50 uncomfortable hours. Rockets buggies come equipped with headlights, radio boosters, and radar with a range of up to 250 km. A version of this vehicle is also used on both Mars and Titan, but here the frame has been modified to act as a lifting body, and it has a top speed in the thin Martian atmosphere of 2,500 km/hour and a range of 8,000 km on Mars. On Titan is has a top speed of 3,000 kph in the atmosphere, but it can also reach orbit.",EP,343
Siftrunner,Vehicles,,,,,,FALSE,Expensive,,"A mobile habitat with quarters for 6, built to withstand the extreme temperatures and radiation on Mercury's surface.",SW,169
Small Jet,Vehicles,,,,,,FALSE,Expensive,,"Methane-powered jet planes are one of the most common forms of fast transport on Mars and Venus. Similar planes are used on Titan, except that they carry both liquid methane and liquid oxygen. These jets range in size from huge vehicles the size of late 20th-century airliners to small planes designed to carry half a dozen passengers. All jets are made using smart materials, so that their wings and frames can adapt to a wide range of speeds and altitudes. One common small jet has similar versions in use on Venus, Mars, and Titan, has a single jet engine and has a life support system capable of providing air for up to 100 hours. The Venusian and Martian versions both have a top speed of 900 kph, a wingspan of 11 m, and a maximum range of 5,000 km. The version designed for Titan has a wingspan of 8 m, a top speed of 650 kph, and a range of 4,000 km. Jets are equipped with headlights, radio boosters, and radar with a range of up to 250 km.",EP,343
Utility Helicopter,Vehicles,,,,,,FALSE,Expensive,,"This is a standard helicopter design from Earth. It is commonly used for cargo transport, medevac, ground/air assault, and command/control.",RW,194
Venusan Hauler,Vehicles,,,,,,FALSE,Expensive,,A tracked cargo hauler designed to transport Q-morphs and equipment on the Venusians surface it has no passenger compartments.,SW,169
Mars Buggy,Vehicles,,,,,,TRUE,High,,"One of the most ubiquitous vehicles on Mars is the so-called Mars buggy, a four-wheeled vehicle with large balloon tires that is designed for use both on roads and on almost any terrain. Mars buggies can travel at speed of up to 110 kph on roads, 90 kph over relatively  at terrain, and up to 40 kph on jagged and rocky terrain. They can maintain these speeds because smart materials in both the suspension and the tires reshape themselves to adapt to uneven conditions and their nuclear batteries give them an effectively unlimited range. Most Mars buggies are enclosed but unpressurized. Similar vehicles are used on Luna and Titan, however, though the passenger compartments of these vehicles includes life support gear that provides the occupants with air for at least 100 hours. Buggies are powered by nuclear batteries and come in a variety of sizes, from small two-person buggies to large trucks. Mars buggies come equipped with headlights, radio boosters, and a vehicle radar system.",EP,344
Methane Skiff,Vehicles,,,,,,TRUE,High,,"Essentially sailboats, they come in a catamaran configuration, with two sleek, flat hulls for stability. Requires Pilot: Sailboat skill to use.",RW,194
Passenger Balloon,Vehicles,,,,,,TRUE,High,,An unpowered aircraft buoyant in the Venusians atmosphere. Primarily used by tourists and the wealthy.,SW,169
