NAME,shortname,TYPE,Description,Cost,Minimum,Blueprints,Source,Effect
Atropine,,Chemicals,"Though poisonous in large doses, atropine is an effective antidote against nerve agents like BTX2 and Nervex. Easily synthesized in a maker, atropine will avert the effect whether taken soon before or after dosage by a nerve agent.",Trivial,,TRUE,EP.323,General toxin antidote
DMSO,,Chemicals,"This chemical acts as a carrier, allowing other chemicals to be absorbed through the skin. It allows any chemical agent to be applied dermally.",Trivial,,TRUE,EP.323,Dermal application for other chemicals
Liquid Thermite,,Chemicals,"Similar to scrapper's gel, liquid thermite comes in a gel form that is easily applied under all environmental conditions (by the nature of its chemical reaction, thermite is oxygenated and will burn underwater or in space). It is ignited with an electric charge, burning at temperatures exceeding 2,500 degrees Celsius and melting through whatever it is touching. Liquid thermite inflicts 3d10 + 5 DV per Action turn to whatever it is touching. Armor will also be burnt through, offering no protection once the full Armor rating has been reached.",Moderate,,TRUE,EP.323,3d10 + 5 DV per action turn
NotWater,,Chemicals,"NotWater is an effective liquid fire retardant that does not get objects wet, no matter how absorbent they are""it simply beads up and slides right off.",Trivial,,TRUE,EP.323,Fire retardant
Scrapper's Gel,,Chemicals,"This goo turns into a potent acid when given an electrical charge. It comes in a gel-like state and may be smeared like jelly, and may even be used in space. In acid form, scrapper's gel does 1d10 + 5 DV per Action Turn to anything it touches, unless the material has been treated against acid. Armor will protect against this acid at first, but the acid will eat through the armor, so that it will no longer protect after its full armor value has been reached.",Low,,TRUE,EP.323,1d10 + 5 DV per action turn
Slip,,Chemicals,"This liquid is almost entirely frictionless. When spread around an area (commonly used in splash grenades), anyone attempting to walk or run on the affected surface must make a COO Test or fall down. Likewise, any coated surface becomes extremely hard to grip onto, requiring a SOM Test to hang on. Anyone attempting to grapple a slip-soaked character suffers a -30 modifier.",Low,,TRUE,EP.323,"COO x 3 test to avoid falling, SOM x 3 test to avoid losing grip"
Tracker Dye,,Chemicals,This liquid is colorless at normal light but becomes recognizable under pre-specified different wavelengths (such as infrared or ultraviolet).,Trivial,,TRUE,EP.323,
Fiberoptic Cable,,Communications,"Fiberoptic cables are used to establish wired connections between two devices. Given the ubiquity of radios and the tangled mess wires cause, they are typically only used for privacy (unlike radio communication, fiberoptic signals may not be intercepted) or in areas with heavy radio interference.",Trivial,,TRUE,EP.313,
High-QBit Reservoir,,Communications,"High-capacity qubit reservoirs can be used for 100 hours of high-resolution video conferencing or meshbrowsing and 1,000 hours of voice or text only communications.",Expensive,,FALSE,EP.315,
Hypersonic Communicator,,Communications,"This device allows the user to transmit audio in a beam, so that the directed sound is only audible at the targeted position",Low,,TRUE,PO.150,
Laser Link,,Communications,"This portable device is used to establish a tight-beam, line-of-sight communications channel with laser link. The range of this transceivers varies widely with environmental factors, but approximates 50 kilometers in atmosphere and 500 kilometers in space (though horizon limits must be kept in mind, being 5 kilometers at ground level on Earth and less on smaller bodies). Lasers are subject to interference from fog, dirt, smoke, and similar visual chaff. These links may only be intercepted by getting directly in between the beams. Some teams carry a micro version of this system, worn on their person, allowing line of sight intra-team communications that cannot be intercepted like radio.",Moderate,,TRUE,EP.314,
Low-QBit Reservoir,,Communications,Low-capacity qubit reservoirs can be used for 10 hours of high-resolution video conferencing or meshbrowsing and 100 hours of voice or text only communications.,High,,FALSE,EP.315,
Microwave Link,,Communications,"This portable device is used to establish a tight-beam, line-of-sight communications channel with laser link. The range of this transceivers varies widely with environmental factors, but approximates 50 kilometers in atmosphere and 500 kilometers in space (though horizon limits must be kept in mind, being 5 kilometers at ground level on Earth and less on smaller bodies). Microwaves may be hindered by metallic obstructions. These links may only be intercepted by getting directly in between the beams. Some teams carry a micro version of this system, worn on their person, allowing line of sight intra-team communications that cannot be intercepted like radio.",Moderate,,TRUE,EP.314,
Miniature Radio Farcaster,Miniature Farcaster,Communications,"Miniature farcasters communicate with each other using standard radio transceivers. As noted above, they may only securely communicate with the other farcasters with which they are entangled. Most miniature farcasters are worn as jewelry or fitted into clothing or other equipment.",Low,,TRUE,EP.315,
Mission Recorder,,Communications,"Mini-sized spime designed to record live XP-cast, or other sensor feeds from gatecrashing teams.",Trivial,,TRUE,GC.155,
Neo-Cetacean Translation Device,,Communications,A small dime sized device that translates to an from the Neo-Cetacean language. Has Exotic Language: Neo-Cetacean at 50.,Low,,TRUE,PO.150,
Neutrino Retreat,,Communications,Remote backup storage for use with Emergency Farcasters (EP 306). Communicates with up to 10 different emergency farcasters and can store up to 10 egos.,High,,FALSE,GC.154,
Neutrino Transceiver,,Communications,"This transceiver is capable of generating and receiving neutrino signals at a range of at least 100 astronomical units. It is large, with a size of 8 cubic meters (in a cube 2 meters on a side), but they can be loaded onto large vehicles. To function, it must be connected to a large power plant, such as one found in habitats or large spacecraft. The cost and size of this device includes the computer necessary for quantum farcasting.",Expensive,,FALSE,EP.314,
Portable QE Comm,,Communications,"This is a handheld FTL communications device. The actual communications unit can be made as small as desired, but must be large enough to connect to or hold a qubit reservoir. Because qubit reservoirs are relatively large and must be replaced, they are rarely implanted. Some miniature farcasters are designed so that users can also attach qubit reservoirs to enable them to be used for both light speed and FTL communication.",Low,,TRUE,EP.315,
Radio Beacon,,Communications,"Portable, medium radio transmitter with a 250km range. Can be programmed with message(s) and set to repeat, alternate, or broadcast to a schedule.",Low,,TRUE,GC.154,
Radio Booster,,Communications,"This device boosts the range and sensitivity of short-range radios, like those from implants, ectos, or microbugs. The booster must be with the shorter-ranged device's range (or directly linked via fiberoptic cable). It will repeat any transmissions received from that device, but at its extended range of 25 kilometers in urban areas (250 kilometers remote areas). Broadcasts from a radio booster are easy to receive by anyone looking for broadcasts, though transmissions may be stealthed. Boosters are commonly used by characters traveling far from habitats or other civilized regions.",Low,,TRUE,EP.314,
Satnet-in-a-Can,Satnet in a Can,Communications,"a large self-launching smart-missile that deploys small orbital satellites. In 1-3 days it provides planet wide gps, surface map, and radio communications. ",High,,TRUE,GC.154,
Acoustic Spotter,,Espionage,This portable sensor system detects the audio signature of kinetic weapons fire and attempts to focus the camera and rangefinder on the source.,Moderate,,TRUE,PO.150,
Chameleon Cloak,,Espionage,"This loose, poncho-like cloak contains a network of sensors that perceive wavelengths from microwave to ultra-violet. A similar network of miniature emitters precisely replicate the information its sensors receive, making the wearer seem transparent to those wavelengths. A chameleon cloak allows a character to effectively become invisible as long as they are stationary or not moving faster than a slow walk. When worn by someone moving faster, the cloak still provides a +30 modifier to Infiltration Tests to avoid being seen or noticed. Chameleon cloaks are not effective against radar, x-ray, or gamma-ray sensors. They do hide the character from thermal infrared, however, by absorbing the character's body heat into its heat sink. The cloak can only absorb a character's body heat for one hour before it must emit this heat. Heat emission also requires one hour, during which time the character is easily visible in the thermal infrared spectrum.",Low,,TRUE,EP.315,+30 Infiltration
Covert Ops Tool,,Espionage,"This handheld device is the ultimate in infiltration technology. It contains both smart matter micromanipulators, cutting tools, and an advanced nanotechnology generator capable of producing nanobots that can bore or cut through almost any material and disable or open almost any electronic lock. Cutting out a lock or boring a 1-millimeter hole in a wall with a COT requires ((Durability + Armor) / 10) seconds. Cutting out a 1-meter diameter hole in a wall requires ((Durability + Armor) / 10) minutes. These same nanobots can later be used to repair this damage so that it is invisible to any but the most careful and detailed examination. A COT can easily open any old-fashioned mechanical lock simply by analyzing it and shaping an appropriate key, though this takes a full Action Turn. It can also open electronic locks by infiltrating them with nanobots that influence the lock's electronics, no matter what authentication system the lock uses. Opening electronic locks takes a full Action Turn, but success is practically guaranteed. Opening an electronic lock in this manner will, however, trigger an alarm and/or be logged as an event.",High,,TRUE,EP.315,
Cuffband,,Espionage,"This smart plastic loop restricts around a prisoner's limbs when activated. If the prisoner struggles, it will tighten more. Cuffbands will inform the user if they are cut or loosened and are electronically-controlled, so the user can release the prisoner remotely. Some cuffband variants including a shock system (treat as a shock baton) to zap and restrain unruly prisoners.",Low,,TRUE,EP.316,
Dazzler,,Espionage,"The dazzler is a tiny laser system set on a rotating ball. When activated, it consistently spins and emits laser pulses in all directions. These laser pulses are not dangerous, but they detect the lenses of camera systems (including specs, viewers, and bot/synthmorph sensors) and repeatedly zap them with laser pulses of varying strength to overload and dazzle them. For as long as a dazzler is active, any camera system (visual, infrared, and ultraviolet) within line of sight and within 200 meters is blinded.",Moderate,,TRUE,EP.316,
Disabler,,Espionage,"This handy device emits an overloading surge that completely incapacitates and disables a synthetic morph or pod (anything with a cyberbrain) when it is plugged into an access jack and activated. The affected cyberbrain will be unable to function until the signal is deactivated, effectively shutting down the ego (or AI). In order to plug a disabler into an unwilling target, the target must first be grappled or a called shot must be successfully made in melee combat. This device does not work on larger synthetic morphs (like vehicles) or on cyberbrainless robots.",High,,TRUE,EP.316,
DNA Chaff,,Espionage,This device similar to a splash grenade contains a mass of biological debris from a thousand morphs. It is used to contaminate an area for DNA evidence.,Moderate,,TRUE,PO.150,
FiberEye,,Espionage,"This is a flexible and electronically-controllable length of fiberoptic cable and viewer, which can be worked through cracks, under doors, and around corners to peep unobtrusively.",Low,,TRUE,EP.316,
Graybox,,Espionage,"This micro device is a simple self powered wireless interface. When attached to an existing device, it allows that device to be interfaced via a wireless connection.",Moderate,,TRUE,PO.150,
Invisibility Cloak,,Espionage,"This cloak is made of metamaterials with a negative refractive index, so that light actually bends around it, making it and anything it covers invisible. This invisibility works from the microwave to ultraviolet spectrums, but not against radar or x-rays. The drawback is that anything concealed within the cloak can't see out. This is easily overcome by using external sensor feeds (if available) and entoptics to navigate. Alternately, a small piece of anti-cloak, which cancels the cloak's invisibility properties when touched together, can be used to create a small window to peep out of, though this increases the chance of being spotted. Noticing such a window requires a Perception Test with a -30 modifier.",High,,TRUE,EP.316,
Lens Crazer,,Espionage,"A more offensive version of the dazzler this device attempts to ruin camera optic systems. It takes one Action Turn to detect lenses, then begins zapping them.",High,,TRUE,PO.151,
Lens Spotter,,Espionage,"A less intrusive version of the dazzler this device maps out the camera lenses in an area, without dazzling or blasting them with lasers.",Low,,TRUE,PO.151,
Microbug,Bug,Espionage,"This device is a tiny camera and microphone 1 millimeter across. It has the visual capabilities of a set of specs. It can hear everything within 20 meters and see everything within the same range that is in its line of sight. A microbug can record up to 100 hours of information. Microbugs can be set to broadcast continuously, at set intervals, or only when they receive a special signal. If desired, they can also be set to only record if there is movement or voices in the room they are in. Microbugs have adhesive backs and can stick to almost any surface. Microbugs can also establish their location via mesh positioning or GPS, and so double as tracking devices. To avoid being detected by their radio transmissions, some microbugs are attached to miniature quantum farcasters. These microbugs are much larger (1 centimeter) and easy to see, but their transmissions cannot be detected or blocked.",Trivial,,TRUE,EP.316,
Prisoner Mask,,Espionage,"This hood tightens around the head of a prisoner, blocks all vision frequencies, and engages in low-level jamming in order to prevent any wireless communication via mesh inserts.",Medium,,TRUE,EP.316,
Privacy Pod,,Espionage,"A portable self-assembling tent-like structure that is a soundproofed Faraday cage, featuring a guardian nanoswarm, an airlock with a built-in bug zapper.",High,,TRUE,PO.151,
Psi Jammer,,Espionage,"This device jams frequencies used by brainwaves within a 20-meter radius. This has no effect on brain functions, but it does prevent any ranged used of psi sleights within this area of effect.",Moderate,,TRUE,EP.316,
Quantum Computer,,Espionage,"These advanced devices make use of quantum computation, allowing them to handle extremely large numbers with ease. This makes them especially useful for codebreaking.",Expensive,,FALSE,EP.316,
Quantum Microbug,Quantum Bug,Espionage,1cm camera/mic./tracker. Audio/visual range 20 meters. Can record 100 hours of data. Broadcasts cannot be detected or blocked.,Low,,TRUE,EP.316,
Radar Cloak,,Espionage,This cloak works like the invisibility cloak except that it bends radar frequencies and makes the wearer invisible to radar sensors.,High,,TRUE,PO.151,
Shroud,,Espionage,"This device is a whole-body smart-fabric covering, similar to a burkha, designed to provide as much anonymity as possible to the wearer. ",High,,TRUE,PO.151,
