Title,Parent,Shortname,Icon,Description,Menu,Source
Personal Augmentations,,Augmentations,,"Almost all citizens of the solar system, whether human, AI, or uplifted animal, use various forms of biological, cybernetic, or nanotechnological augmentation. The following is a list of the most common types.

Unless otherwise noted, any bonuses from personal augmentations are both compatible and cumulative with bonuses from other enhancements. ",TRUE,EP.300
Standard Augmentations,Personal Augmentations,Standard,weight-lifting-up,Most morphs produced in the solar system include the following augmentations.,FALSE,EP.300
Enhanced Senses,Personal Augmentations,Senses,psychic-waves,"The following are a list of the most common enhanced senses. Each is also available as a cybernetic implant, but bioware is much more common.",FALSE,EP.301
Mental Augmentations,Personal Augmentations,Mental,brain,These cybernetic augmentations enhance the brain and mental functions.,FALSE,EP.301
Physical Augmentations,Personal Augmentations,Physical,fist,These implants enhance the morph’s physical body. Most physical bioware augmentations are derived from the capabilities of animals.,FALSE,EP.301
Nanoware,Personal Augmentations,Nano,materials-science,"All augmentation nanoware is advanced nanotechnology, consisting of a grape-sized nanobot generator that produces specialized nanomachines. Nanoware is available for synthmorphs and bots in addition to biomorphs.",FALSE,EP.308
Cosmetic Mods,Personal Augmentations,Cosmetic,lips,"In an age of universal beauty, artistic cosmetic modification of your body is commonly pursued by many transhumans. Body mods once considered dangerous or edgy are now safe and commonplace, especially among factions like the anarchists, scum, or brinkers.",FALSE,EP.309
Robotic Enhancements,Personal Augmentations,Robot,hexagonal-nut,The following modifications are only available to synthmorphs/robots.,FALSE,EP.310
Mobility Systems,Robotic Enhancements,Mobility,tank-tread,"Shells are designed with a wide range of propulsion systems, and are sometimes built for a specific environment/gravity. Some synthmorphs may have multiple mobility systems. Many such systems are retractable, meaning they can be folded away into the shell’s frame.",FALSE,EP.310
Physical Modifications,Robotic Enhancements,Physical,mechanical-arm,These mods are applied to a shell’s physical frame.,FALSE,EP.310
Software Plug-Ins,Personal Augmentations,Plugins,computing,"Plug-ins are simply programs attached to the mind-state emulation software, so that the ego may access them immediately. A plug-in requires a Complex Action to install; once installed, it is “carried” by the infomorph, so that if the infomorph moves to another device, the plug-in moves with it. Plug-ins may be deleted with a Quick Action. Almost any software can be installed as a plug-in, including standard programs, scorchers, and skillsofts (the latter require virtual skillware to run). Other active infomorphs (including AIs and muses) cannot be attached as plug-ins, as they require their own mind-emulation suite. An inactive infomorph, however, could be attached, just like any other electronic data.",FALSE,TH.139
Armor,,Armor,kevlar-vest,"Modern personal armor systems have advanced from the high-modulus polyethylene thermoplastics and aramid fabrics of the early 21st century. Armor in Eclipse Phase is derived from biotech, in the form of organoweave fibers and crystalline-grown plates, and nanotech, in the form of shock-absorbing fullerene (p. 298) materials. Occasionally other materials are used, such as metallic glass plates or shear-resistant fluids that harden against impacts. Such armor protects against (armor-piercing) bullets and kinetic impacts as well as bladed weapons and piercing sharp objects. They also insulate against both the explosive heating of energy weapons and electrical shocks. While such armor protects against bullets, the layers of material catch the bullet and redistribute its kinetic energy across the body, which can still result in severe blunt force trauma.",FALSE,EP.313
Armor Mods,Armor,Mods,kevlar-vest,Armor modifications add extra materials or coatings that either enhance the armor’s resistance to certain dangers or provide other effects. Armor mods may be easily added or removed with the appropriate nanobot applicators.,FALSE,EP.313
Communications,,Comms,talk,"The oldest and most widespread communications technology still in regular use is radio. Every habitat and world inhabited by transhumanity is awash in radio traffic, with humans, machines, and uplifts all constantly communicating with one another. The smallest radios are no larger than a speck of dust and have a range of no more than 20 meters, while the largest are the size of a truck and have a range of many thousands of miles. Radios large and small are ubiquitous and almost all devices contain at least short-range radios so they may interact with the mesh. Most morphs are equipped with basic mesh inserts (p. 300) that include an implanted radio. For radio ranges, see p. 299.",FALSE,"EP.313, GC.154"
Sensors,Communications,Sensors,radar-sweep,,FALSE,EP.313
Espionage,,Espionage,spy,"These technologies allow characters to acquire protected information and to gain access to places that others try to keep them out of. Many of these devices are mesh-capable and equipped with radios, see p. 299 for radio ranges.",FALSE,EP.315
Substances,,Substances,pill,"In Eclipse Phase, the transhuman desire to enhance the body and mind—especially with chemicals—merges right into humanity’s popular pastime of recreational substance abuse. Drugs of all kinds, whether they be chemical, nano-based, or electronic, are not only popular but widespread. While advances in biotechnology have eliminated many of the side effects that once plagued drug users, transhuman bodies remain complicated environments, and so side effects (especially with long-term use) are still a factor.",FALSE,EP.317
