name,type,description,cost,minimum,blueprints,book,source,stats,linked,bonus,armor,passengers,mobility,speed,augmentations
Black Wing,Vehicles,"A backpack made of smart fabric. When activated, it forms into a rigid wing with a span of 8 meters in 1 Action Turn.",Moderate,,TRUE,GC.163,,,Flying,,,,,,
Cargo Hauler,Vehicles,A Large freight hauler equipped for off road use. Passenger compartments provide life support for two.,Expensive,,FALSE,SW.168,,,,,,,,,
Crasher Truck,Vehicles,"A less expensive version of the GEV (EP p. 348), except it has no rockets for space flight.",Crazypants,,FALSE,GC.163,,,,,,,,,
Cycle,Vehicles,"Because of the high cost of enclosing a habitat and providing life support, space is at a premium in all cities except some of the newest cities on Mars. As a result, there is rarely room for large roads or the cars that once carpeted the roads of Earthly cities. Instead, the ubiquitous modern vehicle is the cycle, which is designed to drive down narrow streets only a little wider than sidewalks in Earth cities. There are many different varieties of cycle. Some have only a single wheel and are gyro-stabilized, but most have two wheels and resemble old Earth motorcycles. In some, the driver and passenger are enclosed by a streamlined pod. These vehicles are powered by superconducting batteries, have a range of 600 km and a top speed of 120 kph, but must usually drive more slowly in crowded streets. Cycles are all equipped with radio boosters, headlights, and a portable radar sensor. Tires are solid state (not inflated), or in some cases smart spokes capable of handling stairs. Some luxury versions have limited life-support in the small cabin, capable of providing air for the passengers for up to 10 hours.",Moderate,,TRUE,EP.344,,"0,0,0,0,0,0,0,0,0,50",Pilot:Groundcraft,20,12/10,3,Wheeled,4/40/120,
Deep Sea Submarine,Vehicles,This mini-submersible is capable of carrying four passengers and a small amount of cargo all of the way to sea floor on Europa.,Expensive,,FALSE,RW.193,,,,,,,,,
Diving Exoskeleton,Vehicles,This hardsuit-like exoskeleton enables the wearer to swim in the high-pressure depths of subsurface oceans.,Expensive,,FALSE,RW.193,,"0,0,0,0,0,0,0,0,0,60",,,15/15,1,,4/20/30,"Access Jacks, Cryonic Protection, Fixer Nanoswarm, Headlights, Hydrostatic Pressure Adaptation, Maker, Radio, Sonar, Utilitool"
Diving Sled,Vehicles,This deep sea sled can pull along 2 passengers or 1 passenger with cargo.,Low,,TRUE,RW.194,,"0,0,0,0,0,0,0,0,0,40",,-20,5/0,2,,4/16/20,"Access Jacks, Cryonic, Protection, Headlights, Hydrostatic Pressure Adaptation, Sonar"
EVA Sled,Vehicles,"This small sled uses air impellers to maneuver in zero-G. It is commonly used to carry attached gear, but may also pull along 1 human-sized morph.",Low,,TRUE,EP.345,,"0,0,0,0,0,0,0,0,0,40",,-30,5/0,1,Rocket,4/16/16,
Flux Car,Vehicles,A Blackmarket stealth vehicle used for counter surveillance and tracking.,Crazypants,,FALSE,PO.158,,"0,0,0,0,0,0,0,0,0,150",Pilot:Groundcraft,+20,20/10,,Wheeled,,
Flux Cycle,Vehicles,A Blackmarket stealth enclosed cycle used for counter surveillance and tracking.,Expensive,,FALSE,PO.158,,"0,0,0,0,0,0,0,0,0,50",Pilot:Groundcraft,,12/10,,Wheeled,,
Flying Car,Vehicles,"These highly-efficient, methane-powered, turbofan vectored-thrust vehicles are common on Mars, especially in the cities and larger settlements. The vehicle is the size of a small sedan, and the fans fold into the body when not in use, enabling it to also operate as a ground car. On the ground, they have a maximum velocity of 180 kph on roads, but only 60 kph off-road. Flying car cabins are pressurized, heated, equipped with radar and a radio booster, and provide life support for biomorphs unequipped to breath Martian atmosphere.",Expensive,,FALSE,SW.168,,,,,,,,,
Flying Flux Car,Vehicles,A Blackmarket stealth vehicle that flies it is used for counter surveillance and tracking.,Crazypants,,FALSE,PO.158,,"0,0,0,0,0,0,0,0,0,150",,+10,20/10,,Thrust Vector,,
